t_ms_full,bottom_raw,mid_raw,top_raw,elbow_raw,wrist_raw,bottom_tx,mid_tx,top_tx,elbow_tx,wrist_tx
0,-6.36110936292703e-14,7.63333123551244e-14,1.01777749806833e-13,0,0,-0,0,0,0,0
20,-2.84917289748149e-05,1.53500265571046e-05,1.31417015894357e-05,0,0,-0,0,0,0,0
40,-0.000355489156154904,0.000202618310466032,0.000152870577717354,0,0,-0,0,0,0,0
60,-0.00160781053564506,0.000971356754439346,0.000636445640345243,0,0,-0,0,0,0,0
80,-0.00463531425003137,0.00296654238992045,0.00166868091340776,0,0,-0,0,0,0,0
100,-0.01038223518577,0.00703260231831969,0.00334905398292954,0,0,-0,0,0,0,0
120,-0.0197680493150979,0.0141576607628728,0.00560783365748195,0,0,-0,0,0,0,0
140,-0.0336449260551194,0.0254606769967763,0.00817545899956345,0,0,-0,0,0,0,0
160,-0.0527054665209234,0.0421215426322787,0.0105587801521326,0,0,-0,0,0,0,0
180,-0.0774437580405642,0.0653381141434372,0.0120432917591801,0,0,-0,0,0,0,0
200,-0.108144435593429,0.0963076189848818,0.011698664573035,0,0,-0,0,0,0,0
220,-0.144842388574545,0.13616444833655,0.00839873431795999,0,0,-0,0,0,0,0
240,-0.187322488250493,0.18595844913972,0.000841308106578187,0,0,-0,0,0,0,0
260,-0.235096253115277,0.246584342396393,-0.0124047208994162,0,0,-0,0,-0,0,0
280,-0.287432417447664,0.318807684139886,-0.0328947163694465,0,0,-0,0,-0,0,0
300,-0.343337393770603,0.403193821935698,-0.0622538241510287,0,0,-0,0,-0,0,0
320,-0.401566296990653,0.500058586356968,-0.102111055508136,0,0,-0,1,-0,0,0
340,-0.460649807044709,0.609536004445373,-0.154135860813514,0,0,-0,1,-0,0,0
360,-0.518890998997921,0.731466131990591,-0.219917619865927,0,0,-1,1,-0,0,0
380,-0.574381882411572,0.865454764343312,-0.301000487055624,0,0,-1,1,-0,0,0
400,-0.62504872363806,1.01077380152293,-0.398722682076608,0,0,-1,1,-0,0,0
420,-0.668621379373366,1.16649456149253,-0.514373678945305,0,0,-1,1,-1,0,0
440,-0.702688222801464,1.33138081554511,-0.649015112054536,0,0,-1,1,-1,0,0
460,-0.724745119438258,1.50391607960446,-0.803449410440132,0,0,-1,2,-1,0,0
480,-0.732152041790973,1.68235942078438,-0.978310962485496,0,0,-1,2,-1,0,0
500,-0.722200950456447,1.86472000504733,-1.17396496578435,0,0,-1,2,-1,0,0
520,-0.69222567458249,2.04878410828325,-1.39042766951592,0,0,-1,2,-1,0,0
540,-0.639463950291063,2.23215642619548,-1.62754130037801,0,0,-1,2,-2,0,0
560,-0.561212835762825,2.41226015288834,-1.88482969886514,0,0,-1,2,-2,0,0
580,-0.454974058447452,2.58640687950245,-2.16144956578038,0,0,-0,3,-2,0,0
600,-0.318212378170354,2.7517672947575,-2.45639435192394,0,0,-0,3,-2,0,0
620,-0.148678446546288,2.9054589799412,-2.76830902098415,0,0,-0,3,-3,0,0
640,0.0557096765001617,3.04453371507516,-3.09560548799511,0,0,0,3,-3,0,0
660,0.296655104776258,3.1660771260301,-3.43640419808824,0,0,0,3,-3,0,0
680,0.575619727560332,3.2671575713601,-3.78862665785515,0,0,1,3,-4,0,0
700,0.893676650011043,3.34489476536503,-4.14996362076492,0,0,1,3,-4,0,0
720,1.25147763235255,3.39648114135332,-4.51789584804619,0,0,1,3,-5,0,0
740,1.64909865699988,3.41929403402396,-4.88970478776168,0,0,2,3,-5,0,0
760,2.08626859056394,3.41072611278938,-5.26251330790977,0,0,2,3,-5,0,0
780,2.56212871602578,3.36834140704222,-5.6332657655142,0,0,3,3,-6,0,0
800,3.07510592861131,3.29001488885966,-5.99878074650766,0,0,3,3,-6,0,0
820,3.6233100524805,3.17353034076494,-6.35569422051223,0,0,4,3,-6,0,0
840,4.20398156351304,3.01714432849984,-6.70057578222507,0,0,4,3,-7,0,0
860,4.81395055503214,2.81907712800192,-7.0298167816329,0,0,5,3,-7,0,0
880,5.44935570179312,2.57784046379492,-7.3397273359514,0,0,5,3,-7,0,0
900,6.10577253318757,2.29206591198037,-7.6264843735312,0,0,6,2,-8,0,0
920,6.77813225033123,1.96075062030898,-7.88628555903434,0,0,7,2,-8,0,0
940,7.460904116752,1.58282857891587,-8.11511929501729,0,0,7,2,-8,0,0
960,8.14798373283737,1.15749987857513,-8.30896571453294,0,0,8,1,-8,0,0
980,8.83280486368192,0.684275603798888,-8.46389724578775,0,0,9,1,-8,0,0
1000,9.50836332987431,0.162593945687916,-8.57579026343122,0,0,10,0,-9,0,0
1020,10.1673075705775,-0.407752220474242,-8.6407076687173,0,0,10,-0,-9,0,0
1040,10.8019668609483,-1.02688531614287,-8.65469401040078,0,0,11,-1,-9,0,0
1060,11.4045573708963,-1.69458926338858,-8.6140668910596,0,0,11,-2,-9,0,0
1080,11.9670702112366,-2.41061854482809,-8.51509256525249,0,0,12,-2,-9,0,0
1100,12.481575740052,-3.17437015738993,-8.35436302552842,0,0,12,-3,-8,0,0
1120,12.9404215926904,-3.98486832802674,-8.12885571494224,0,0,13,-4,-8,0,0
1140,13.336040697737,-4.84098720866852,-7.83559410079138,0,0,13,-5,-8,0,0
1160,13.6615223494108,-5.74106735754397,-7.4721506611345,0,0,14,-6,-7,0,0
1180,13.9104615106373,-6.68308804232475,-7.03632954619914,0,0,14,-7,-7,0,0
1200,14.0776412237162,-7.66433740161248,-6.5266584094649,0,0,14,-8,-7,0,0
1220,14.1584322509868,-8.68172241740683,-5.94169444731515,0,0,14,-9,-6,0,0
1240,14.1497273358129,-9.73132692786272,-5.28072163564167,0,0,14,-10,-5,0,0
1260,14.0497004279005,-10.8085158524354,-4.54340045457538,0,0,14,-11,-5,0,0
1280,13.8581866184325,-11.9077772261705,-3.72998687205192,0,0,14,-12,-4,0,0
1300,13.5766256586274,-13.0227128307957,-2.8412217176407,0,0,14,-13,-3,0,0
1320,13.2078496946106,-14.1459864604374,-1.87813075918025,0,0,13,-14,-2,0,0
1340,12.7565329603844,-15.2692127512295,-0.842437934732489,0,0,13,-15,-1,0,0
1360,12.2288231316643,-16.3830036350899,0.263638826600154,0,0,12,-16,0,0,0
1380,11.6320889339098,-17.476947110775,1.43745134627312,0,0,12,-17,1,0,0
1400,10.9750140239849,-18.5398194822721,2.67554921944598,0,0,11,-19,3,0,0
1420,10.2667020725938,-19.5593970312152,3.97428618466643,0,0,10,-20,4,0,0
1440,9.5169120200143,-20.5228835378387,5.3291866128848,0,0,10,-21,5,0,0
1460,8.73550815117681,-21.4172247396636,6.73504826062118,0,0,9,-21,7,0,0
1480,7.93193193839215,-22.2289033623986,8.18620805698736,0,0,8,-22,8,0,0
1500,7.11509230888869,-22.9446426691541,9.67615184913778,0,0,7,-23,10,0,0
1520,6.29297633930132,-23.551884606352,11.1975211452495,0,0,6,-24,11,0,0
1540,5.47237157747424,-24.0385064384754,12.7422318400555,0,0,5,-24,13,0,0
1560,4.65867201844635,-24.3941096747143,14.301219612448,0,0,5,-24,14,0,0
1580,3.85576469692014,-24.6092137847218,15.8645611964202,0,0,4,-25,16,0,0
1600,3.06588545959649,-24.6765222872314,17.4213305924869,0,0,3,-25,17,0,0
1620,2.28960603257317,-24.5906301331959,18.9596336426828,0,0,2,-25,19,0,0
1640,1.5258007605547,-24.3488258075818,20.466753691642,0,0,2,-24,20,0,0
1660,0.771836987922335,-23.9493512264757,21.9287570947923,0,0,1,-24,22,0,0
1680,0.0234916253198126,-23.3942487588183,23.3313454213409,0,0,0,-23,23,0,0
1700,-0.72475539076907,-22.6862321831788,24.6589973105681,0,0,-1,-23,25,0,0
1720,-1.47964797121803,-21.8306668863987,25.8958825735798,0,0,-1,-22,26,0,0
1740,-2.24882639710142,-20.8350418275944,27.0262670199782,0,0,-2,-21,27,0,0
1760,-3.04080212498583,-19.7072056903716,28.0335079710409,0,0,-3,-20,28,0,0
1780,-3.86449686909328,-18.4570196471978,28.901879982481,0,0,-4,-18,29,0,0
1800,-4.72889162993783,-17.095429766088,29.61679833494,0,0,-5,-17,30,0,0
1820,-5.6430854513271,-15.6334015758851,30.1640057120228,0,0,-6,-16,30,0,0
1840,-6.61557413097713,-14.0827395571879,30.531539820143,0,0,-7,-14,31,0,0
1860,-7.65400265250181,-12.4554167395299,30.7097448967481,0,0,-8,-12,31,0,0
1880,-8.76478978402457,-10.7633661019804,30.6917309105937,0,0,-9,-11,31,0,0
1900,-9.95282590152698,-9.01826843568243,30.4735295845331,0,0,-10,-9,30,0,0
1920,-11.2206795788792,-7.23163789397075,30.0553186569148,0,0,-11,-7,30,0,0
1940,-12.5685866125542,-5.41443980253894,29.440453136176,0,0,-13,-5,29,0,0
1960,-13.9936765604635,-3.57720377225939,28.636246157622,0,0,-14,-4,29,0,0
1980,-15.4894735695104,-1.72991927450206,27.6539325929504,0,0,-15,-2,28,0,0
2000,-17.0460598170689,0.118024758747603,26.5068937149027,0,0,-17,0,27,0,0
2020,-18.6491540972821,1.95777224842449,25.211820666537,0,0,-19,2,25,0,0
2040,-20.2806209809199,3.78117433864696,23.7871333044136,0,0,-20,4,24,0,0
2060,-21.918721384791,5.5808862042402,22.2525494886403,0,0,-22,6,22,0,0
2080,-23.5384861007328,7.3501891676124,20.6279247978191,0,0,-24,7,21,0,0
2100,-25.112563585159,9.08307871822875,18.9330479294731,0,0,-25,9,19,0,0
2120,-26.6116065846567,10.7737149752357,17.1862520352692,0,0,-27,11,17,0,0
2140,-28.0063477121302,12.4168719718371,15.4048677737126,0,0,-28,12,15,0,0
2160,-29.2679653595022,14.0072865226006,13.6043102453205,0,0,-29,14,14,0,0
2180,-30.3697468212932,15.5397562408203,11.7982679453301,0,0,-30,16,12,0,0
2200,-31.2891549739126,17.0093008455336,9.99856690674307,0,0,-31,17,10,0,0
2220,-32.0079668414952,18.4107787731831,8.21516492895856,0,0,-32,18,8,0,0
2240,-32.5123896889751,19.7386777140557,6.45638681223783,0,0,-33,20,6,0,0
2260,-32.7946753749345,20.9875583716977,4.7289052004722,0,0,-33,21,5,0,0
2280,-32.8527019970627,22.1520313527113,3.03784314077466,0,0,-33,22,3,0,0
2300,-32.687500762338,23.226048743368,1.38727927520796,0,0,-33,23,1,0,0
2320,-32.3052652974237,24.2040579830276,-0.220065367937004,0,0,-32,24,-0,0,0
2340,-31.7148799685735,25.0805371112987,-1.78241412010668,0,0,-32,25,-2,0,0
2360,-30.9265587990484,25.8498013036134,-3.29863910055542,0,0,-31,26,-3,0,0
2380,-29.9532819223265,26.5074113436497,-4.76864623396202,0,0,-30,27,-5,0,0
2400,-28.8075181523618,27.0489041212099,-6.1926203954091,0,0,-29,27,-6,0,0
2420,-27.5029068447704,27.4713609289253,-7.57145860771456,0,0,-28,27,-8,0,0
2440,-26.052522380762,27.7727270794954,-8.90630198771336,0,0,-26,28,-9,0,0
2460,-24.4696603599691,27.9528254555999,-10.1987370534404,0,0,-24,28,-10,0,0
2480,-22.766631573052,28.0125482705449,-11.4503650249319,0,0,-23,28,-11,0,0
2500,-20.9556922956447,27.9548379476072,-12.6630289373264,0,0,-21,28,-13,0,0
2520,-19.0484215020746,27.7840522291839,-13.8385136236745,0,0,-19,28,-14,0,0
2540,-17.0560540438804,27.5061474647509,-14.9785556661856,0,0,-17,28,-15,0,0
2560,-14.989337889639,27.1282141283583,-16.084664658566,0,0,-15,27,-16,0,0
2580,-12.8586185252649,26.6581662219327,-17.1580088284623,0,0,-13,27,-17,0,0
2600,-10.6739991599002,26.1045187079048,-18.1993436688179,0,0,-11,26,-18,0,0
2620,-8.44530068116511,25.4758706794602,-19.2088381398173,0,0,-8,25,-19,0,0
2640,-6.18210801731656,24.7805098797476,-20.1859206789938,0,0,-6,25,-20,0,0
2660,-3.89390432388853,24.0262767157517,-21.1292450032205,0,0,-4,24,-21,0,0
2680,-1.58999225184676,23.22003093293,-22.036413116039,0,0,-2,23,-22,0,0
2700,0.720342886590346,22.3677460160448,-22.9040288803603,0,0,1,22,-23,0,0
2720,3.02786978697552,21.4743897550806,-23.7276990177047,0,0,3,21,-24,0,0
2740,5.32333304205884,20.5436535568463,-24.5017491872559,0,0,5,21,-25,0,0
2760,7.59743704762457,19.5782808203869,-25.2196104742931,0,0,8,20,-25,0,0
2780,9.84077275077518,18.5799713961819,-25.8737561491791,0,0,10,19,-26,0,0
2800,12.0438483190953,17.5495819348694,-26.4560883356794,0,0,12,18,-26,0,0
2820,14.1969129560131,16.4871409271498,-26.9579928045328,0,0,14,16,-27,0,0
2840,16.2899758368557,15.3920541420559,-27.3708358918264,0,0,16,15,-27,0,0
2860,18.3129334102027,14.2633044884781,-27.6865765993759,0,0,18,14,-28,0,0
2880,20.2550950332184,13.0993779274049,-27.8975693537816,0,0,20,13,-28,0,0
2900,22.1053864588846,11.8985221092015,-27.9973100083173,0,0,22,12,-28,0,0
2920,23.8526397581678,10.6589668808408,-27.9810641277527,0,0,24,11,-28,0,0
2940,25.4846977030257,9.37870120550276,-27.8450823820552,0,0,25,9,-28,0,0
2960,26.9892735306019,8.05589143602919,-27.5876543182734,0,0,27,8,-28,0,0
2980,28.3533160480037,6.68873566107731,-27.2084054205139,0,0,28,7,-27,0,0
3000,29.5641553939036,5.27587318569252,-26.7090457093364,0,0,30,5,-27,0,0
3020,30.6077746658773,3.81590191195194,-26.0916883090702,0,0,31,4,-26,0,0
3040,31.47160008646,2.3081886813888,-25.3604532387491,0,0,31,2,-25,0,0
3060,32.1424940706467,0.752288672982429,-24.5195404298338,0,0,32,1,-25,0,0
3080,32.6087124074289,-0.851560009442235,-23.5739481532481,0,0,33,-1,-24,0,0
3100,32.8611536002213,-2.50223749511406,-22.5293791601784,0,0,33,-3,-23,0,0
3120,32.8917298418209,-4.19814727517191,-21.3909490760898,0,0,33,-4,-21,0,0
3140,32.6975323336617,-5.93639271357284,-20.1644928546261,0,0,33,-6,-20,0,0
3160,32.2784933903427,-7.71327078862674,-18.855141852984,0,0,32,-8,-19,0,0
3180,31.6400908186828,-9.52373010338367,-17.4680808663669,0,0,32,-10,-17,0,0
3200,30.7931186166659,-11.3613591122745,-16.0082636518469,0,0,31,-11,-16,0,0
3220,29.7533981994426,-13.2182852991055,-14.4803148366382,0,0,30,-13,-14,0,0
3240,28.5418908831749,-15.0850119685328,-12.8887469173015,0,0,29,-15,-13,0,0
3260,27.1830802523254,-16.9503726141063,-11.2377025524119,0,0,27,-17,-11,0,0
3280,25.7050157446417,-18.8015426469188,-9.53151057222693,0,0,26,-19,-10,0,0
3300,24.1364785715878,-20.6239665822658,-7.77409289638426,0,0,24,-21,-8,0,0
3320,22.506789289041,-22.4015069924839,-5.96952527554851,0,0,23,-22,-6,0,0
3340,20.8442490973672,-24.1169162956242,-4.12211627893468,0,0,21,-24,-4,0,0
3360,19.1748610100835,-25.7515683396589,-2.2361140649314,0,0,19,-26,-2,0,0
3380,17.5219207940058,-27.286302783398,-0.316156888963244,0,0,18,-27,-0,0,0
3400,15.9051537885828,-28.7023799810686,1.63265674806772,0,0,16,-29,2,0,0
3420,14.3410296074852,-29.9804715736289,3.60502244175736,0,0,14,-30,4,0,0
3440,12.8418754375815,-31.1036895727682,5.59488359172639,0,0,13,-31,6,0,0
3460,11.416990358301,-32.0556351446223,7.59574795144141,0,0,11,-32,8,0,0
3480,10.0720768308279,-32.8228857893898,9.60037290991838,0,0,10,-33,10,0,0
