t_ms_full,bottom_raw,mid_raw,top_raw,elbow_raw,wrist_raw,bottom_tx,mid_tx,top_tx,elbow_tx,wrist_tx
0,-6.36110936292703e-14,7.63333123551244e-14,1.01777749806833e-13,0,0,-0,0,0,0,0
1,-9.22887748014236e-09,4.86565534942743e-09,4.36333146333107e-09,0,0,-0,0,0,0,0
1,-1.84576913491911e-08,9.73123436554251e-09,8.72656114891233e-09,0,0,-0,0,0,0,0
2,-2.76865052182398e-08,1.45968133816576e-08,1.30897908344936e-08,0,0,-0,0,0,0,0
2,-3.69153190872886e-08,1.94623923977727e-08,1.74530205200748e-08,0,0,-0,0,0,0,0
3,-4.83175259828051e-08,2.54738212521591e-08,2.28438007340015e-08,0,0,-0,0,0,0,0
3,-8.61723544053048e-08,4.54315229294631e-08,4.07410189898082e-08,0,0,-0,0,0,0,0
4,-1.30030756321136e-07,6.85543557108407e-08,6.14765982246128e-08,0,0,-0,0,0,0,0
4,-1.97210000569038e-07,1.03972304059334e-07,9.32379042106344e-08,0,0,-0,0,0,0,0
5,-2.78203361342607e-07,1.46673317654846e-07,1.31530274859601e-07,0,0,-0,0,0,0,0
5,-3.79756081698604e-07,2.0021354432473e-07,1.79542776723089e-07,0,0,-0,0,0,0,0
6,-5.06259258727596e-07,2.66908019233546e-07,2.39351417367451e-07,0,0,-0,0,0,0,0
6,-6.50451513887597e-07,3.4292845467238e-07,3.0752316645282e-07,0,0,-0,0,0,0,0
7,-8.35773849271959e-07,4.40633373083625e-07,3.95140618871879e-07,0,0,-0,0,0,0,0
7,-1.02113173319879e-06,5.38357033221602e-07,4.82774878077039e-07,0,0,-0,0,0,0,0
8,-1.2748456899812e-06,6.72119043993558e-07,6.02726802521286e-07,0,0,-0,0,0,0,0
8,-1.52855964676362e-06,8.05881054765514e-07,7.22678726965533e-07,0,0,-0,0,0,0,0
9,-1.85797540219722e-06,9.79552021242067e-07,8.78423504295784e-07,0,0,-0,0,0,0,0
9,-2.2298142540996e-06,1.17558786554174e-06,1.05422650584172e-06,0,0,-0,0,0,0,0
10,-2.60165310600197e-06,1.37162370984142e-06,1.23002950738765e-06,0,0,-0,0,0,0,0
10,-2.97349195790435e-06,1.56765955414109e-06,1.40583250893358e-06,0,0,-0,0,0,0,0
11,-3.4001885566183e-06,1.79273587321022e-06,1.60745279215314e-06,0,0,-0,0,0,0,0
