Time_s,BottomArm_deg,MiddleArm_deg,TopArm_deg,Bicep_deg,Wrist_deg
0,6.31022048802362e-12,-3.02788805675327e-12,-1.52666624710249e-12,-0,-0
0.02,-0.00741371136284136,0.00370706796517756,0.00370664333148776,-0,-0
0.04,-0.0580209031227992,0.0290231637917578,0.0289977095380841,-0,-0
0.06,-0.177478678067007,0.0888579428365563,0.0886198836676684,-0,-0
0.08,-0.371194622377307,0.186114170920255,0.185072656394656,-0,-0
0.1,-0.637669769038074,0.320352458589793,0.317277743189068,-0,-0
0.12,-0.972856306252517,0.489934529011715,0.48278143194019,-0,-0
0.14,-1.37166067789709,0.69273969680042,0.67852803843043,-0,-0
0.16,-1.82804001596001,0.926170536998118,0.900939662288656,-0,-0
0.18,-2.33494439850312,1.18707375321051,1.14593361817484,-0,-0
0.2,-2.88460491612021,1.4718462095937,1.40910844082132,-0,-0
0.22,-3.4686259748504,1.77644770040805,1.68583780690556,-0,-0
0.24,-4.07819048357584,2.09649176809447,1.97140334946321,-0,-0
0.26,-4.70397755775184,2.4271760867151,2.2610210099071,-0,-0
0.28,-5.33642682764596,2.76343098186845,2.54998664753906,-0,-0
0.3,-5.9657768304422,3.0999452643704,2.83372857361594,-0,-0
0.32,-6.58228031929905,3.43129147193071,3.10794204921831,-0,-0
0.34,-7.1761788441597,3.75195964247076,3.36853140046142,-0,-0
0.36,-7.73801336991416,4.05652958244297,3.61178702291992,-0,-0
0.38,-8.25861477788064,4.3397094947936,3.83431803799371,-0,-0
0.4,-8.72942968569084,4.59653276454118,4.03316710705867,-0,-0
0.42,-9.14250211770703,4.82237480878776,4.20573264812443,-0,-0
0.44,-9.49077935540977,5.01313338890131,4.34984338325436,-0,-0
0.46,-9.76822899993987,5.16530447081204,4.46373486789762,-0,-0
0.48,-9.96998135824524,5.27606519588728,4.54604313554032,-0,-0
0.5,-10.0924570245337,5.34334504373429,4.59579914252277,-0,-0
0.52,-10.141238636094,5.37015079157885,4.61557248493075,-0,-0
0.54,-10.1530959874172,5.3766671817887,4.62037496737909,-0,-0
0.56,-10.1554003431062,5.37793360836336,4.62130810642037,-0,-0
0.58,-10.15580826522,5.37815779506835,4.62147328687918,-0,-0
0.6,-10.1558741000895,5.37819397676697,4.62149994531675,-0,-0
0.62,-10.1403674271658,5.36967201706891,4.61521956311714,-0,-0
0.64,-10.0343435662245,5.31141761101177,4.5722103228584,-0,-0
0.66,-9.78463641189133,5.17430871322452,4.47044483687015,-0,-0
0.68,-9.38091040399799,4.95292366762419,4.30451949285329,-0,-0
0.7,-8.82775339612566,4.65024891055773,4.0744005730166,-0,-0
0.72,-8.13549986403702,4.27266233393714,3.78194413872836,-0,-0
0.74,-7.31639363063437,3.82786359428007,3.429538711516,-0,-0
0.76,-6.38506791324148,3.32512147296296,3.0206334246052,-0,-0
0.78,-5.35727837550905,2.77455169328568,2.55944669354005,-0,-0
0.8,-4.24979199627607,2.18696220347553,2.05118318827543,-0,-0
0.82,-3.07981540604867,1.57344252716428,1.50192692204156,-0,-0
0.84,-1.8651971160173,0.94523864296102,0.918970588480608,-0,-0
0.86,-0.623627271878338,0.313267790000235,0.310322288488663,-0,-0
0.88,0.626896232062646,-0.311940037181666,-0.314918355816492,-0,-0
0.9,1.8683930881428,-0.920506658145089,-0.946890564376592,-0,-0
0.92,3.08299823149041,-1.50345364442311,-1.57508990178576,-0,-0
0.94,4.25277665790581,-2.05256841491979,-2.18853715837446,-0,-0
0.96,5.35998995001761,-2.56066347485607,-2.77600455949324,-0,-0
0.98,6.38753301336612,-3.02171625078038,-3.3264521791343,-0,-0
1,7.31855328718606,-3.43046677595786,-3.82903691258532,-0,-0
1.02,8.13741110613721,-3.78275542394897,-4.2737037259219,-0,-0
1.04,8.8294630303927,-4.07511998005993,-4.65118226814355,-0,-0
1.06,9.38198999566392,-4.30496542411495,-4.95351516823547,-0,-0
1.08,9.7845578762723,-4.47041306446848,-5.17426554206137,-0,-0
1.1,10.0292410029987,-4.57013753352514,-5.30861457928097,-0,-0
1.12,10.1265745082432,-4.60963111474285,-5.3620922815532,-0,-0
1.14,10.1503025772095,-4.61924371214586,-5.37513199490691,-0,-0
1.16,10.1549126419231,-4.621110618603,-5.37766557693521,-0,-0
1.18,10.1557265557505,-4.62144020029261,-5.3781128889777,-0,-0
1.2,10.155863359916,-4.62149559631386,-5.37818807415381,-0,-0
1.22,10.148143960659,-4.61836947358063,-5.37394568506583,-0,-0
1.24,10.0950408781229,-4.59684711443766,-5.34476476781993,-0,-0
1.26,9.97009965538241,-4.54609149520103,-5.27613012143879,-0,-0
1.28,9.76775313958875,-4.46354083325375,-5.16504320374876,-0,-0
1.3,9.49001381619522,-4.34952865785669,-5.01271361952962,-0,-0
1.32,9.14145047833608,-4.20529419373247,-4.82179960442266,-0,-0
1.34,8.72829081010186,-4.03268950998517,-4.59591057160123,-0,-0
1.36,8.25731542202888,-3.83376618280949,-4.33900160478241,-0,-0
1.38,7.73655369441722,-3.61115608891992,-4.05573789197896,-0,-0
1.4,7.17467324894952,-3.3678763394817,-3.75114459142332,-0,-0
1.42,6.58069430754172,-3.10724166236953,-3.43043690488182,-0,-0
1.44,5.96414299352203,-2.8329975764869,-3.09906902088221,-0,-0
1.46,5.33477168058617,-2.54923559599512,-2.76254831268797,-0,-0
1.48,4.70232683633862,-2.26026223301427,-2.42630087139169,-0,-0
1.5,4.07656505332972,-1.97064770015493,-2.09563479485566,-0,-0
1.52,3.46708616908248,-1.68510883977217,-1.77564411135353,-0,-0
1.54,2.88308902133537,-1.40838865634701,-1.47105656213374,-0,-0
1.56,2.33353557711596,-1.14525707820429,-1.18634530932649,-0,-0
1.58,1.8268289306638,-0.900349524324922,-0.925550995566888,-0,-0
1.6,1.37053551572908,-0.677977721337663,-0.69216583811813,-0,-0
1.62,0.971846352457512,-0.482284965345369,-0.489421574433961,-0,-0
1.64,0.636874854777365,-0.31688440323348,-0.319951047595363,-0,-0
1.66,0.370667311059261,-0.184810531593876,-0.185849019140473,-0,-0
1.68,0.177595211967235,-0.0886778538755524,-0.0889165019416727,-0,-0
1.7,0.0604880563181552,-0.0302302392628957,-0.0302577832166285,-0,-0
1.72,0.0139579802240909,-0.0133884249099061,-0.000566861413112794,-0,-0
1.74,0.00267710921135574,-0.0516796260793902,0.0490065576318294,-0,-0
1.76,0.000466429941890227,-0.154056407711697,0.153592137772952,-0,-0
1.78,7.74300703562657e-05,-0.322017444420095,0.321940761588209,-0,-0
1.8,1.24223476910378e-05,-0.553708964494045,0.553696747032381,-0,-0
1.82,1.94329104746357e-06,-0.846016101153117,0.846014206476337,-0,-0
1.84,2.98781572294415e-07,-1.19492190788915,1.19492161956848,-0,-0
1.86,4.53321571024186e-08,-1.59553233591735,1.5955322926819,-0,-0
1.88,6.75843176073461e-09,-2.04212629303529,2.04212628667291,-0,-0
1.9,1.00218863402236e-09,-2.52844866429335,2.52844866336304,-0,-0
1.92,1.47662484994286e-10,-3.04743403190072,3.04743403176579,-0,-0
1.94,2.16316813248124e-11,-3.59146078363523,3.59146078361587,-0,-0
1.96,3.21091566410346e-12,-4.15242022655508,4.15242022655235,-0,-0
1.98,4.60108024469235e-13,-4.72176152234225,4.7217615223419,-0,-0
2,1.74552340303263e-13,-5.29067231435366,5.29067231435369,-0,-0
2.02,9.69292396555268e-14,-5.85011223869888,5.85011223869891,-0,-0
2.04,5.40935535625128e-14,-6.391008075895,6.39100807589508,-0,-0
2.06,5.08888749034163e-14,-6.90437865340655,6.90437865340665,-0,-0
2.08,5.08888749034163e-14,-7.38143432947617,7.38143432947628,-0,-0
2.1,2.68047980003937e-14,-7.8140741743273,7.81407417432735,-0,-0
2.12,5.08888749034163e-14,-8.19444408166349,8.19444408166359,-0,-0
2.14,5.08888749034163e-14,-8.51573742961675,8.5157374296168,-0,-0
2.16,5.41663102754016e-14,-8.77206804775159,8.77206804775165,-0,-0
2.18,5.55663797578394e-14,-8.95863365326651,8.95863365326661,-0,-0
2.2,6.84510410553699e-14,-9.07195794386661,9.07195794386664,-0,-0
2.22,3.86564183941313e-14,-9.11715888200258,9.11715888200265,-0,-0
2.24,7.63333123551244e-14,-9.12810180180789,9.12810180180797,-0,-0
2.26,5.48680227370454e-14,-9.13023606151127,9.13023606151133,-0,-0
2.28,3.87365749770384e-14,-9.13061352837292,9.13061352837299,-0,-0
2.3,5.08888749034163e-14,-9.13067392890111,9.13067392890119,-0,-0
2.32,6.94315864623176e-14,-9.11631225313991,9.11631225313999,-0,-0
2.34,7.62808561095864e-14,-9.01822166628996,9.01822166628998,-0,-0
2.36,5.08888749034163e-14,-8.78719860216507,8.78719860216515,-0,-0
2.38,5.08888749034163e-14,-8.41428483496152,8.4142848349616,-0,-0
2.4,9.93070608078542e-14,-7.90462825733578,7.9046282573358,-0,-0
2.42,6.65647679884474e-14,-7.26836785484643,7.2683678548465,-0,-0
2.44,5.38745642649112e-14,-6.51897220751708,6.51897220751709,-0,-0
2.46,6.25581328387171e-14,-5.67091120955689,5.67091120955699,-0,-0
2.48,5.40324290481755e-14,-4.74056566952549,4.74056566952556,-0,-0
2.5,3.74973243939576e-14,-3.74501678970916,3.74501678970921,-0,-0
2.52,7.63333123551244e-14,-2.7017060098054,2.70170600980549,-0,-0
2.54,4.3545862319586e-14,-1.62814661440301,1.6281466144031,-0,-0
2.56,4.38472391816907e-14,-0.541539288855851,0.541539288855927,-0,-0
2.58,5.08888749034163e-14,0.541412801397851,-0.541412801397774,-0,-0
2.6,5.08888749034163e-14,1.60462495756064,-1.60462495756052,-0,-0
