time_ms,roll_deg,pitch_deg,yaw_deg,gx_dps,gy_dps,gz_dps,ax_g,ay_g,az_g
22,3.29,-4.47,-0.03,0.000,0.000,0.000,-0.0028,0.0886,0.9905
42,3.44,-4.12,-0.03,0.000,0.000,0.000,-0.0753,0.1161,0.9689
62,3.63,-3.63,-0.03,-0.209,0.000,0.000,-0.1376,0.1396,0.9525
82,3.87,-3.03,-0.03,0.000,0.000,0.000,-0.1899,0.1601,0.9370
102,4.15,-2.35,-0.03,0.000,0.000,0.000,-0.2346,0.1768,0.9243
122,4.45,-1.60,-0.03,0.000,0.000,0.000,-0.2728,0.1906,0.9131
142,4.79,-0.81,-0.03,0.264,0.000,0.000,-0.3049,0.2032,0.9043
162,5.13,0.01,-0.03,0.000,0.000,0.000,-0.3316,0.2136,0.8969
182,5.49,0.86,-0.03,0.000,0.000,0.000,-0.3543,0.2229,0.8916
202,5.85,1.71,-0.03,0.000,0.000,0.293,-0.3736,0.2309,0.8858
222,6.22,2.57,-0.03,0.000,0.000,0.000,-0.3909,0.2382,0.8811
242,6.59,3.43,-0.03,0.000,0.000,-0.409,-0.4057,0.2428,0.8768
262,6.97,4.28,-0.03,0.302,0.000,0.000,-0.4179,0.2472,0.8726
282,7.34,5.12,-0.04,0.211,0.000,-0.424,-0.4284,0.2510,0.8700
302,7.70,5.95,-0.04,0.000,0.000,0.000,-0.4372,0.2549,0.8685
322,8.05,6.76,-0.04,0.000,0.000,0.000,-0.4445,0.2576,0.8663
342,8.40,7.55,-0.04,0.000,0.000,0.000,-0.4508,0.2599,0.8644
362,8.74,8.32,-0.05,0.000,0.000,-0.211,-0.4564,0.2614,0.8629
382,9.07,9.07,-0.05,0.000,0.000,0.000,-0.4609,0.2629,0.8619
402,9.39,9.80,-0.05,0.000,0.000,-0.256,-0.4645,0.2645,0.8616
422,9.70,10.50,-0.05,0.203,0.000,0.000,-0.4675,0.2659,0.8601
442,10.01,11.19,-0.05,0.000,0.000,0.000,-0.4703,0.2670,0.8590
462,10.30,11.85,-0.05,0.000,0.000,0.000,-0.4729,0.2677,0.8581
482,10.58,12.49,-0.05,-0.240,0.000,0.232,-0.4749,0.2682,0.8570
502,10.85,13.11,-0.05,0.000,0.000,0.000,-0.4771,0.2681,0.8571
522,11.11,13.71,-0.05,0.000,-0.201,0.000,-0.4786,0.2687,0.8568
542,11.36,14.29,-0.05,-0.217,0.364,0.000,-0.4796,0.2687,0.8561
562,11.60,14.85,-0.05,0.000,0.000,0.000,-0.4806,0.2690,0.8553
582,11.84,15.38,-0.05,0.000,0.000,0.000,-0.4818,0.2701,0.8546
602,12.07,15.90,-0.05,0.000,0.000,0.000,-0.4830,0.2706,0.8531
622,12.29,16.40,-0.05,0.000,0.000,0.000,-0.4844,0.2708,0.8531
642,12.51,16.89,-0.05,0.000,0.234,0.000,-0.4852,0.2705,0.8531
662,12.71,17.35,-0.05,0.000,0.000,0.000,-0.4853,0.2714,0.8528
682,12.91,17.80,-0.05,0.000,0.000,0.000,-0.4858,0.2719,0.8529
702,13.10,18.23,-0.05,0.000,0.000,0.000,-0.4862,0.2724,0.8527
722,13.29,18.64,-0.05,0.000,0.000,0.000,-0.4870,0.2723,0.8533
742,13.46,19.04,-0.05,0.000,0.000,0.000,-0.4873,0.2721,0.8527
762,13.63,19.42,-0.05,0.000,0.000,0.000,-0.4867,0.2727,0.8524
782,13.80,19.78,-0.05,0.000,0.000,0.000,-0.4869,0.2723,0.8523
802,13.96,20.13,-0.05,0.000,0.000,0.000,-0.4871,0.2726,0.8519
822,14.11,20.47,-0.05,0.000,0.000,0.000,-0.4871,0.2726,0.8523
842,14.25,20.80,-0.05,0.000,0.000,0.000,-0.4875,0.2722,0.8515
862,14.39,21.11,-0.05,0.000,0.000,0.000,-0.4876,0.2720,0.8535
882,14.52,21.41,-0.04,0.000,0.000,0.202,-0.4877,0.2718,0.8529
902,14.65,21.69,-0.04,0.000,0.000,0.000,-0.4878,0.2724,0.8538
922,14.77,21.97,-0.04,0.280,0.204,0.392,-0.4882,0.2724,0.8527
942,14.89,22.24,-0.04,0.000,0.000,0.000,-0.4879,0.2731,0.8525
962,15.01,22.49,-0.04,0.000,0.000,0.000,-0.4883,0.2733,0.8529
982,15.12,22.74,-0.04,0.000,0.000,0.000,-0.4879,0.2729,0.8524
1002,15.22,22.97,-0.04,0.000,0.000,0.000,-0.4880,0.2729,0.8527
1022,15.32,23.19,-0.04,0.000,-0.384,0.000,-0.4883,0.2727,0.8518
1042,15.42,23.40,-0.04,0.000,0.000,0.000,-0.4880,0.2728,0.8528
1062,15.51,23.61,-0.04,0.000,0.000,0.000,-0.4885,0.2727,0.8520
1082,15.60,23.81,-0.04,0.000,0.000,0.000,-0.4883,0.2726,0.8527
1102,15.69,24.01,-0.04,0.000,0.000,0.000,-0.4884,0.2722,0.8530
1122,15.77,24.19,-0.04,0.000,0.000,0.000,-0.4881,0.2724,0.8528
1142,15.84,24.37,-0.04,0.000,0.000,0.000,-0.4881,0.2720,0.8534
1162,15.92,24.53,-0.04,0.000,-0.224,0.000,-0.4886,0.2722,0.8532
1182,15.99,24.69,-0.04,0.000,0.000,0.000,-0.4885,0.2726,0.8542
1202,16.06,24.85,-0.04,0.000,0.000,0.000,-0.4881,0.2723,0.8531
1222,16.12,25.00,-0.04,0.000,0.000,0.000,-0.4881,0.2717,0.8533
1242,16.18,25.14,-0.04,0.000,-0.209,0.000,-0.4875,0.2719,0.8534
1262,16.24,25.27,-0.04,0.000,0.000,0.000,-0.4876,0.2717,0.8538
1282,16.30,25.41,-0.04,0.000,0.000,0.000,-0.4876,0.2719,0.8537
1302,16.36,25.53,-0.04,0.000,0.000,0.000,-0.4874,0.2723,0.8533
1322,16.41,25.65,-0.04,0.000,0.000,0.000,-0.4876,0.2722,0.8532
1342,16.46,25.77,-0.04,0.000,0.000,-0.295,-0.4874,0.2724,0.8538
1362,16.51,25.88,-0.04,0.000,0.000,0.202,-0.4881,0.2720,0.8537
1382,16.56,25.99,-0.04,0.000,0.000,0.000,-0.4878,0.2718,0.8538
1402,16.60,26.09,-0.04,0.000,0.249,0.000,-0.4876,0.2722,0.8547
1422,16.65,26.19,-0.04,0.241,0.000,0.000,-0.4875,0.2722,0.8535
1442,16.69,26.29,-0.04,0.000,0.000,0.000,-0.4874,0.2726,0.8530
1462,16.73,26.38,-0.04,0.000,0.000,0.000,-0.4875,0.2720,0.8525
1482,16.77,26.46,-0.04,-0.270,-0.384,0.000,-0.4876,0.2725,0.8526
1502,16.80,26.54,-0.04,-0.201,0.000,0.000,-0.4877,0.2724,0.8533
1522,16.84,26.63,-0.04,0.000,0.000,-0.203,-0.4878,0.2721,0.8532
1542,16.87,26.70,-0.03,0.000,0.000,0.377,-0.4876,0.2721,0.8533
1562,16.90,26.78,-0.03,0.000,0.000,0.000,-0.4874,0.2728,0.8542
1582,16.94,26.85,-0.03,0.000,0.000,0.202,-0.4871,0.2734,0.8543
1602,16.97,26.91,-0.03,0.000,0.000,0.000,-0.4873,0.2733,0.8532
1622,17.00,26.98,-0.03,0.000,0.000,0.000,-0.4879,0.2734,0.8544
1642,17.03,27.04,-0.03,0.000,0.000,0.247,-0.4869,0.2733,0.8540
1662,17.06,27.10,-0.03,0.000,0.000,0.000,-0.4872,0.2735,0.8532
1682,17.09,27.16,-0.03,0.000,0.000,0.000,-0.4874,0.2735,0.8539
1702,17.12,27.21,-0.03,0.000,0.000,0.000,-0.4875,0.2736,0.8539
1722,17.14,27.26,-0.03,0.000,0.000,0.000,-0.4874,0.2733,0.8535
1742,17.16,27.32,-0.03,0.000,0.000,0.000,-0.4873,0.2726,0.8526
1762,17.19,27.37,-0.03,0.000,0.000,0.000,-0.4874,0.2728,0.8529
1782,17.21,27.41,-0.03,0.000,0.000,0.000,-0.4873,0.2729,0.8525
1802,17.22,27.46,-0.02,-0.278,-0.232,0.377,-0.4876,0.2723,0.8533
1822,17.24,27.50,-0.02,0.000,0.000,0.000,-0.4881,0.2728,0.8529
1842,17.26,27.55,-0.02,0.000,0.000,0.000,-0.4883,0.2718,0.8526
1862,17.28,27.59,-0.02,0.000,0.000,0.000,-0.4886,0.2720,0.8524
1882,17.30,27.63,-0.02,0.000,0.000,0.000,-0.4884,0.2726,0.8522
1902,17.32,27.67,-0.02,0.000,0.000,0.000,-0.4875,0.2728,0.8528
1922,17.33,27.70,-0.02,0.000,0.000,0.000,-0.4876,0.2733,0.8535
1942,17.35,27.73,-0.02,0.000,-0.201,0.000,-0.4874,0.2728,0.8530
1962,17.36,27.77,-0.02,0.000,0.000,0.000,-0.4872,0.2726,0.8536
1982,17.38,27.80,-0.02,0.000,0.000,0.000,-0.4867,0.2726,0.8534
2002,17.39,27.82,-0.02,0.000,0.000,0.000,-0.4861,0.2721,0.8530
2022,17.40,27.85,-0.02,0.000,0.000,0.000,-0.4862,0.2730,0.8539
2042,17.42,27.87,-0.02,0.000,0.000,0.000,-0.4861,0.2730,0.8537
2062,17.44,27.89,-0.02,0.287,-0.209,0.000,-0.4862,0.2732,0.8543
2082,17.45,27.92,-0.02,0.000,0.000,0.000,-0.4867,0.2730,0.8538
2102,17.46,27.94,-0.02,0.000,0.000,0.000,-0.4862,0.2728,0.8534
2122,17.47,27.96,-0.02,0.000,0.000,0.000,-0.4864,0.2727,0.8532
2142,17.48,27.98,-0.02,0.000,0.000,-0.340,-0.4862,0.2731,0.8533
2162,17.49,28.00,-0.03,0.000,0.000,-0.310,-0.4861,0.2738,0.8535
2182,17.51,28.02,-0.03,0.409,0.000,0.000,-0.4862,0.2731,0.8527
2202,17.52,28.04,-0.03,0.000,0.000,0.000,-0.4866,0.2727,0.8521
2222,17.53,28.07,-0.03,0.000,0.000,0.000,-0.4869,0.2724,0.8517
