time_ms,roll_deg,pitch_deg,yaw_deg,gx_dps,gy_dps,gz_dps,ax_g,ay_g,az_g
4,30.30,-20.57,0.00,0.428,-0.289,0.000,0.3589,0.4843,0.8286
23,30.29,-20.55,0.02,-0.214,0.726,0.945,0.3576,0.4844,0.8290
43,30.29,-20.54,0.01,0.000,-0.205,-0.391,0.3568,0.4847,0.8289
63,30.30,-20.53,-0.00,0.000,0.215,-0.612,0.3558,0.4849,0.8297
83,30.30,-20.52,-0.00,0.206,0.215,0.000,0.3548,0.4853,0.8296
103,30.31,-20.50,-0.01,0.481,0.322,-0.429,0.3544,0.4850,0.8304
123,30.31,-20.48,-0.01,0.229,0.291,0.000,0.3541,0.4847,0.8310
143,30.31,-20.47,-0.02,0.000,0.000,-0.612,0.3542,0.4850,0.8315
163,30.30,-20.45,-0.02,-0.481,0.696,0.357,0.3545,0.4846,0.8309
183,30.30,-20.44,-0.00,0.000,0.000,0.754,0.3544,0.4850,0.8315
203,30.29,-20.42,-0.01,-0.305,0.367,-0.605,0.3550,0.4851,0.8322
223,30.29,-20.44,-0.00,0.000,-1.335,0.395,0.3552,0.4859,0.8329
243,30.27,-20.40,0.01,-0.901,1.406,0.640,0.3548,0.4865,0.8326
263,30.29,-20.41,0.01,0.802,-0.656,0.000,0.3549,0.4864,0.8313
283,30.29,-20.39,0.01,0.000,0.337,0.000,0.3541,0.4861,0.8315
303,30.29,-20.39,0.01,0.000,-0.281,0.243,0.3547,0.4862,0.8318
323,30.29,-20.38,0.01,-0.244,0.000,0.000,0.3546,0.4862,0.8319
343,30.27,-20.39,0.02,-0.672,-0.587,0.266,0.3546,0.4858,0.8319
363,30.26,-20.38,0.02,-0.466,0.000,0.000,0.3550,0.4859,0.8319
383,30.27,-20.38,0.02,0.000,0.000,0.000,0.3550,0.4863,0.8315
403,30.27,-20.37,0.02,0.000,0.253,0.000,0.3548,0.4856,0.8317
423,30.27,-20.35,0.01,0.000,0.314,-0.253,0.3547,0.4852,0.8313
443,30.27,-20.34,0.01,0.000,0.329,0.000,0.3551,0.4854,0.8320
463,30.27,-20.34,0.01,0.000,0.000,0.000,0.3547,0.4855,0.8320
483,30.26,-20.33,0.01,-0.412,0.000,0.000,0.3547,0.4847,0.8316
503,30.25,-20.33,0.01,-0.221,0.000,0.000,0.3547,0.4842,0.8315
523,30.24,-20.33,0.01,-0.298,0.000,0.000,0.3548,0.4842,0.8317
543,30.24,-20.32,0.01,0.000,0.000,0.000,0.3550,0.4842,0.8308
563,30.25,-20.33,0.01,0.336,-0.510,0.000,0.3549,0.4839,0.8305
583,30.25,-20.33,0.01,0.000,0.000,0.000,0.3547,0.4844,0.8311
603,30.25,-20.32,0.02,0.000,0.000,0.250,0.3549,0.4844,0.8305
623,30.24,-20.32,0.02,-0.244,0.000,0.000,0.3546,0.4839,0.8300
643,30.24,-20.32,0.01,0.000,0.000,-0.261,0.3546,0.4842,0.8309
663,30.24,-20.32,0.01,0.000,0.000,0.000,0.3547,0.4844,0.8306
683,30.25,-20.31,0.01,0.229,0.000,-0.398,0.3548,0.4836,0.8297
703,30.25,-20.31,0.01,0.000,0.383,0.000,0.3549,0.4835,0.8302
723,30.24,-20.30,0.01,-0.237,0.000,0.000,0.3543,0.4843,0.8308
743,30.23,-20.29,0.01,-0.343,0.283,0.000,0.3547,0.4840,0.8319
763,30.22,-20.30,0.01,-0.603,-0.205,0.000,0.3549,0.4844,0.8317
783,30.22,-20.29,0.01,-0.252,0.000,0.000,0.3549,0.4855,0.8312
803,30.22,-20.29,0.01,0.000,0.000,0.000,0.3548,0.4853,0.8315
823,30.22,-20.29,0.01,0.000,0.000,0.000,0.3547,0.4855,0.8310
843,30.23,-20.29,0.01,0.267,0.000,0.296,0.3543,0.4854,0.8310
863,30.23,-20.28,0.01,0.000,0.000,0.000,0.3546,0.4852,0.8315
883,30.23,-20.29,0.01,0.000,-0.335,0.000,0.3548,0.4851,0.8312
903,30.24,-20.28,0.02,0.000,0.000,0.250,0.3543,0.4853,0.8306
923,30.23,-20.28,0.02,-0.389,0.000,0.250,0.3544,0.4851,0.8307
943,30.23,-20.28,0.02,-0.320,0.000,0.000,0.3543,0.4847,0.8305
963,30.23,-20.28,0.02,0.000,0.000,0.000,0.3543,0.4849,0.8315
983,30.23,-20.27,0.02,0.000,0.000,0.000,0.3544,0.4851,0.8312
1003,30.24,-20.27,0.02,0.344,0.000,0.000,0.3540,0.4854,0.8308
1023,30.24,-20.27,0.03,0.000,0.000,0.273,0.3543,0.4854,0.8317
1043,30.24,-20.27,0.02,0.000,0.000,-0.368,0.3544,0.4852,0.8329
1063,30.24,-20.26,0.02,0.000,0.000,0.000,0.3548,0.4847,0.8326
1083,30.24,-20.26,0.02,0.000,0.000,0.000,0.3549,0.4851,0.8332
1103,30.24,-20.26,0.02,0.000,0.000,0.000,0.3549,0.4851,0.8333
1123,30.24,-20.26,0.02,0.214,0.000,0.000,0.3549,0.4855,0.8335
1143,30.24,-20.25,0.02,0.252,0.000,0.000,0.3539,0.4862,0.8335
1163,30.25,-20.25,0.02,0.229,0.000,0.000,0.3539,0.4858,0.8328
1183,30.24,-20.24,0.01,-0.320,0.000,-0.299,0.3540,0.4852,0.8330
1203,30.24,-20.24,0.01,-0.214,0.000,0.000,0.3542,0.4850,0.8328
1223,30.24,-20.24,0.01,0.000,-0.213,0.000,0.3542,0.4851,0.8322
1243,30.24,-20.24,0.01,0.000,0.000,0.000,0.3542,0.4858,0.8329
1263,30.25,-20.24,0.01,0.351,0.000,0.000,0.3541,0.4861,0.8327
1283,30.25,-20.23,0.01,0.000,0.337,0.000,0.3545,0.4859,0.8318
1303,30.25,-20.23,0.02,0.206,0.000,0.311,0.3545,0.4857,0.8314
1323,30.25,-20.23,0.02,0.000,-0.259,0.000,0.3546,0.4856,0.8317
1343,30.25,-20.24,0.02,-0.252,-0.259,0.000,0.3550,0.4859,0.8320
1363,30.25,-20.24,0.03,0.000,0.000,0.281,0.3548,0.4855,0.8322
1383,30.25,-20.24,0.03,-0.305,0.000,0.000,0.3546,0.4861,0.8313
1403,30.25,-20.24,0.03,0.000,0.000,0.000,0.3545,0.4856,0.8309
1423,30.25,-20.23,0.03,0.000,0.283,0.000,0.3546,0.4854,0.8306
1443,30.25,-20.23,0.03,-0.320,0.000,0.000,0.3549,0.4860,0.8314
1463,30.25,-20.23,0.03,0.000,0.000,0.327,0.3549,0.4856,0.8316
1483,30.25,-20.23,0.04,-0.305,-0.251,0.243,0.3546,0.4858,0.8318
1503,30.25,-20.23,0.04,0.000,0.000,0.000,0.3546,0.4856,0.8316
1523,30.25,-20.23,0.04,0.000,0.000,0.000,0.3544,0.4859,0.8315
1543,30.26,-20.23,0.04,0.275,0.000,0.000,0.3537,0.4861,0.8323
1563,30.26,-20.23,0.04,0.000,0.000,0.258,0.3539,0.4862,0.8321
1583,30.26,-20.22,0.04,0.000,0.000,0.000,0.3541,0.4858,0.8322
1603,30.26,-20.23,0.04,0.000,-0.449,0.000,0.3541,0.4858,0.8331
1623,30.25,-20.23,0.04,-0.214,0.000,0.000,0.3540,0.4859,0.8325
1643,30.25,-20.23,0.04,0.000,0.000,0.000,0.3542,0.4860,0.8331
1663,30.26,-20.22,0.04,0.000,0.000,0.000,0.3544,0.4860,0.8324
1683,30.26,-20.22,0.04,0.000,0.000,0.000,0.3539,0.4858,0.8325
1703,30.26,-20.21,0.04,0.000,0.215,0.000,0.3535,0.4856,0.8325
1723,30.25,-20.21,0.04,0.000,0.000,-0.246,0.3537,0.4851,0.8331
1743,30.25,-20.21,0.04,0.000,0.000,0.000,0.3540,0.4852,0.8329
1763,30.25,-20.21,0.04,0.000,0.000,0.000,0.3538,0.4848,0.8336
1783,30.25,-20.20,0.03,0.000,0.230,-0.215,0.3541,0.4846,0.8337
1803,30.24,-20.20,0.03,0.000,0.000,0.000,0.3544,0.4849,0.8333
1823,30.24,-20.20,0.03,0.000,0.000,0.000,0.3541,0.4852,0.8326
1843,30.24,-20.20,0.03,0.000,0.000,0.000,0.3545,0.4854,0.8322
1863,30.25,-20.20,0.03,0.000,0.000,0.000,0.3549,0.4855,0.8317
1883,30.25,-20.20,0.03,0.000,0.000,0.000,0.3551,0.4856,0.8314
1903,30.25,-20.20,0.03,0.000,0.000,0.000,0.3551,0.4859,0.8317
1923,30.25,-20.21,0.03,0.000,-0.251,0.000,0.3551,0.4860,0.8322
1943,30.25,-20.21,0.02,0.000,0.000,-0.398,0.3546,0.4861,0.8324
1963,30.25,-20.21,0.02,0.000,0.000,-0.215,0.3546,0.4860,0.8322
1983,30.25,-20.21,0.02,0.000,0.000,0.000,0.3543,0.4865,0.8331
2003,30.26,-20.21,0.02,0.000,0.000,-0.253,0.3540,0.4867,0.8324
2023,30.26,-20.20,0.02,0.000,0.000,0.000,0.3543,0.4862,0.8329
2043,30.26,-20.20,0.02,0.000,0.000,0.000,0.3541,0.4865,0.8327
2063,30.26,-20.21,0.02,0.000,-0.297,0.205,0.3546,0.4856,0.8329
2083,30.26,-20.21,0.02,0.000,0.000,0.000,0.3548,0.4852,0.8329
2103,30.26,-20.21,0.01,0.000,0.000,-0.284,0.3548,0.4855,0.8322
2123,30.26,-20.21,0.01,0.000,0.000,0.000,0.3552,0.4859,0.8324
2143,30.26,-20.20,0.01,0.000,0.360,0.000,0.3554,0.4860,0.8324
2163,30.26,-20.20,0.01,0.000,0.000,0.000,0.3551,0.4858,0.8319
2183,30.26,-20.20,0.01,-0.221,0.253,0.000,0.3543,0.4859,0.8325
2203,30.26,-20.20,0.01,0.000,0.000,0.000,0.3544,0.4862,0.8320
2223,30.26,-20.20,0.01,0.000,0.000,0.000,0.3544,0.4857,0.8321
2243,30.26,-20.20,0.01,0.000,0.000,0.000,0.3540,0.4856,0.8329
2263,30.26,-20.20,0.02,0.000,0.000,0.220,0.3542,0.4856,0.8332
2283,30.25,-20.19,0.02,0.000,0.000,0.000,0.3541,0.4852,0.8333
2303,30.25,-20.19,0.02,0.000,0.000,0.000,0.3539,0.4852,0.8334
2323,30.25,-20.20,0.02,0.000,-0.327,0.342,0.3540,0.4850,0.8328
2343,30.24,-20.20,0.02,-0.320,0.000,0.000,0.3537,0.4853,0.8326
2363,30.24,-20.20,0.02,0.000,-0.243,0.000,0.3542,0.4853,0.8333
2383,30.24,-20.20,0.02,0.000,0.000,0.000,0.3544,0.4849,0.8341
