t_ms_full,a1_raw,a2_raw,a3_raw,a1_servo,a2_servo,a3_servo
0,0,0,0,90,90,90
20,0,0,0,90,90,90
40,0,0,0,90,90,90
60,0,0,0,90,90,90
80,0,0,0,90,90,90
100,0,0,0,90,90,90
120,0,0,0,90,90,90
140,0,0,0,90,90,90
160,0,0,0,90,90,90
180,0,0,0,90,90,90
200,0,0,0,90,90,90
220,0,0,0,90,90,90
240,0,0,0,90,90,90
260,0,0,0,90,90,90
280,0,0,0,90,90,90
300,0,0,0,90,90,90
320,0,0,0,90,90,90
340,0,0,0,90,90,90
360,0,0,0,90,90,90
380,0,0,0,90,90,90
400,0,0,0,90,90,90
420,0,0,0,90,90,90
440,0,0,0,90,90,90
460,0,0,0,90,90,90
480,0,0,0,90,90,90
500,0,0,0,90,90,90
520,0,0,0,90,90,90
540,0,0,0,90,90,90
560,0,0,0,90,90,90
580,0,0,0,90,90,90
600,0,0,0,90,90,90
620,0,0,0,90,90,90
640,0,0,0,90,90,90
660,0,0,0,90,90,90
680,0,0,0,90,90,90
700,0,0,0,90,90,90
720,0,0,0,90,90,90
740,0,0,0,90,90,90
760,0,0,0,90,90,90
780,0,0,0,90,90,90
800,0,0,0,90,90,90
820,0,0,0,90,90,90
840,0,0,0,90,90,90
860,0,0,0,90,90,90
880,0,0,0,90,90,90
900,0,0,0,90,90,90
920,0,0,0,90,90,90
940,0,0,0,90,90,90
960,0,0,0,90,90,90
980,0,0,0,90,90,90
1000,0,0,0,90,90,90
1020,0,0,0,90,90,90
1040,0,0,0,90,90,90
1060,0,0,0,90,90,90
1080,0,0,0,90,90,90
1100,0,0,0,90,90,90
1120,0,0,0,90,90,90
1140,0,0,0,90,90,90
1160,0,0,0,90,90,90
1180,0,0,0,90,90,90
1200,0,0,0,90,90,90
1220,0,0,0,90,90,90
1240,0,0,0,90,90,90
1260,0,0,0,90,90,90
1280,0,0,0,90,90,90
1300,0,0,0,90,90,90
1320,0,0,0,90,90,90
1340,0,0,0,90,90,90
1360,0,0,0,90,90,90
1380,0,0,0,90,90,90
1400,0,0,0,90,90,90
1420,0,0,0,90,90,90
1440,0,0,0,90,90,90
1460,0,0,0,90,90,90
1480,0,0,0,90,90,90
1500,0,0,0,90,90,90
1520,0,0,0,90,90,90
1540,0,0,0,90,90,90
1560,0,0,0,90,90,90
1580,0,0,0,90,90,90
1600,0,0,0,90,90,90
1620,0,0,0,90,90,90
1640,0,0,0,90,90,90
1660,0,0,0,90,90,90
1680,0,0,0,90,90,90
1700,0,0,0,90,90,90
1720,0,0,0,90,90,90
1740,0,0,0,90,90,90
1760,0,0,0,90,90,90
1780,0,0,0,90,90,90
1800,0,0,0,90,90,90
1820,0,0,0,90,90,90
1840,0,0,0,90,90,90
1860,0,0,0,90,90,90
1880,0,0,0,90,90,90
1900,0,0,0,90,90,90
1920,0,0,0,90,90,90
1940,0,0,0,90,90,90
1960,0,0,0,90,90,90
1980,0,0,0,90,90,90
2000,0,0,0,90,90,90
2020,0,0,0,90,90,90
2040,0,0,0,90,90,90
2060,0,0,0,90,90,90
2080,0,0,0,90,90,90
2100,0,0,0,90,90,90
2120,0,0,0,90,90,90
2140,0,0,0,90,90,90
2160,0,0,0,90,90,90
2180,0,0,0,90,90,90
2200,0,0,0,90,90,90
2220,0,0,0,90,90,90
2240,0,0,0,90,90,90
2260,0,0,0,90,90,90
2280,0,0,0,90,90,90
2300,0,0,0,90,90,90
2320,0,0,0,90,90,90
2340,0,0,0,90,90,90
2360,0,0,0,90,90,90
2380,0,0,0,90,90,90
2400,0,0,0,90,90,90
2420,0,0,0,90,90,90
2440,0,0,0,90,90,90
2460,0,0,0,90,90,90
2480,0,0,0,90,90,90
2500,0,0,0,90,90,90
2520,0,0,0,90,90,90
2540,0,0,0,90,90,90
2560,0,0,0,90,90,90
2580,0,0,0,90,90,90
2600,0,0,0,90,90,90
2620,0,0,0,90,90,90
2640,0,0,0,90,90,90
2660,0,0,0,90,90,90
2680,0,0,0,90,90,90
2700,0,0,0,90,90,90
2720,0,0,0,90,90,90
2740,0,0,0,90,90,90
2760,0,0,0,90,90,90
2780,0,0,0,90,90,90
2800,0,0,0,90,90,90
2820,0,0,0,90,90,90
2840,0,0,0,90,90,90
2860,0,0,0,90,90,90
2880,0,0,0,90,90,90
2900,0,0,0,90,90,90
2920,0,0,0,90,90,90
2940,0,0,0,90,90,90
2960,0,0,0,90,90,90
2980,0,0,0,90,90,90
3000,0,0,0,90,90,90
3020,0,0,0,90,90,90
3040,0,0,0,90,90,90
3060,0,0,0,90,90,90
3080,0,0,0,90,90,90
3100,0,0,0,90,90,90
3120,0,0,0,90,90,90
3140,0,0,0,90,90,90
3160,0,0,0,90,90,90
3180,0,0,0,90,90,90
3200,0,0,0,90,90,90
3220,0,0,0,90,90,90
3240,0,0,0,90,90,90
3260,0,0,0,90,90,90
3280,0,0,0,90,90,90
3300,0,0,0,90,90,90
3320,0,0,0,90,90,90
3340,0,0,0,90,90,90
3360,0,0,0,90,90,90
3380,0,0,0,90,90,90
3400,0,0,0,90,90,90
3420,0,0,0,90,90,90
3440,0,0,0,90,90,90
3460,0,0,0,90,90,90
3480,0,0,0,90,90,90
3500,0,0,0,90,90,90
3520,0,0,0,90,90,90
3540,0,0,0,90,90,90
3560,0,0,0,90,90,90
3580,0,0,0,90,90,90
3600,0,0,0,90,90,90
3620,0,0,0,90,90,90
3640,0,0,0,90,90,90
3660,0,0,0,90,90,90
3680,0,0,0,90,90,90
3700,0,0,0,90,90,90
3720,0,0,0,90,90,90
3740,0,0,0,90,90,90
3760,0,0,0,90,90,90
3780,0,0,0,90,90,90
3800,0,0,0,90,90,90
3820,0,0,0,90,90,90
3840,0,0,0,90,90,90
3860,0,0,0,90,90,90
3880,0,0,0,90,90,90
3900,0,0,0,90,90,90
3920,0,0,0,90,90,90
3940,0,0,0,90,90,90
3960,0,0,0,90,90,90
3980,0,0,0,90,90,90
4000,0,0,0,90,90,90
4020,0,0,0,90,90,90
4040,0,0,0,90,90,90
4060,0,0,0,90,90,90
4080,0,0,0,90,90,90
4100,0,0,0,90,90,90
4120,0,0,0,90,90,90
4140,0,0,0,90,90,90
4160,0,0,0,90,90,90
4180,0,0,0,90,90,90
4200,0,0,0,90,90,90
4220,0,0,0,90,90,90
4240,0,0,0,90,90,90
4260,0,0,0,90,90,90
4280,0,0,0,90,90,90
4300,0,0,0,90,90,90
4320,0,0,0,90,90,90
4340,0,0,0,90,90,90
4360,0,0,0,90,90,90
4380,0,0,0,90,90,90
4400,0,0,0,90,90,90
4420,0,0,0,90,90,90
4440,0,0,0,90,90,90
4460,0,0,0,90,90,90
4480,0,0,0,90,90,90
4500,0,0,0,90,90,90
4520,0,0,0,90,90,90
4540,0,0,0,90,90,90
4560,0,0,0,90,90,90
4580,0,0,0,90,90,90
4600,0,0,0,90,90,90
4620,0,0,0,90,90,90
4640,0,0,0,90,90,90
4660,0,0,0,90,90,90
4680,0,0,0,90,90,90
4700,0,0,0,90,90,90
4720,0,0,0,90,90,90
4740,0,0,0,90,90,90
4760,0,0,0,90,90,90
4780,0,0,0,90,90,90
4800,0,0,0,90,90,90
4820,0,0,0,90,90,90
4840,0,0,0,90,90,90
4860,0,0,0,90,90,90
4880,0,0,0,90,90,90
4900,0,0,0,90,90,90
4920,0,0,0,90,90,90
4940,0,0,0,90,90,90
4960,0,0,0,90,90,90
4980,0,0,0,90,90,90
5000,0,0,0,90,90,90
5020,0,-0.4,0.4,90,90,90
5040,0,-1.6,1.6,90,88,92
5060,0,-3.2,3.2,90,87,93
5080,0,-5.1,5.1,90,85,95
5100,0,-7.1,7.1,90,83,97
5120,0,-9.2,9.2,90,81,99
5140,0,-11.3,11.3,90,79,101
5160,0,-13.4,13.4,90,77,103
5180,0,-15.3,15.3,90,75,105
5200,0,-17.2,17.2,90,73,107
5220,0,-18.9,18.9,90,71,109
5240,0,-20.5,20.5,90,70,111
5260,0,-21.9,21.9,90,68,112
5280,0,-23.2,23.2,90,67,113
5300,0,-24.4,24.4,90,66,114
5320,0,-25.5,25.5,90,65,116
5340,0,-26.4,26.4,90,64,116
5360,0,-27.2,27.2,90,63,117
5380,0,-28,28,90,62,118
5400,0,-28.6,28.6,90,61,119
5420,0,-29.1,29.1,90,61,119
5440,0,-29.6,29.6,90,60,120
5460,0,-30,30,90,60,120
5480,0,-30.4,30.4,90,60,120
5500,0,-30.7,30.7,90,59,121
5520,0,-30.9,30.9,90,59,121
5540,0,-31.2,31.2,90,59,121
5560,0,-31.4,31.4,90,59,121
5580,0,-31.5,31.5,90,59,122
5600,0,-31.7,31.7,90,58,122
5620,0,-31.8,31.8,90,58,122
5640,0,-31.9,31.9,90,58,122
5660,0,-32,32,90,58,122
5680,0,-32,32,90,58,122
5700,0,-32.1,32.1,90,58,122
5720,0,-32.1,32.1,90,58,122
5740,0,-32.2,32.2,90,58,122
5760,0,-32.2,32.2,90,58,122
