t_ms_full,bottom_raw,mid_raw,top_raw,elbow_raw,wrist_raw,bottom_tx,mid_tx,top_tx,elbow_tx,wrist_tx
0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0
40,0,1,1,1,1,0,1,1,1,1
60,0,2,2,2,2,0,2,2,2,2
80,0,3,3,3,3,0,3,3,3,3
100,0,4,4,4,4,0,4,4,4,4
120,0,5,5,5,5,0,5,5,5,5
140,0,6,6,6,6,0,6,6,6,6
160,0,7,7,7,7,0,7,7,7,7
180,0,8,8,8,8,0,8,8,8,8
200,0,9,9,9,9,0,9,9,9,9
220,0,10,10,10,10,0,10,10,10,10
240,0,11,11,11,11,0,11,11,11,11
260,0,12,12,12,12,0,12,12,12,12
280,0,13,13,13,13,0,13,13,13,13
300,0,14,14,14,14,0,14,14,14,14
320,0,15,15,15,15,0,15,15,15,15
340,0,16,16,16,16,0,16,16,16,16
360,0,17,17,17,17,0,17,17,17,17
380,0,18,18,18,18,0,18,18,18,18
400,0,19,19,19,19,0,19,19,19,19
420,0,20,20,20,20,0,20,20,20,20
440,0,21,21,21,21,0,21,21,21,21
460,0,22,22,22,22,0,22,22,22,22
480,0,23,23,23,23,0,23,23,23,23
500,0,24,24,24,24,0,24,24,24,24
520,0,25,25,25,25,0,25,25,25,25
540,0,26,26,26,26,0,26,26,26,26
560,0,27,27,27,27,0,27,27,27,27
580,0,28,28,28,28,0,28,28,28,28
600,0,29,29,29,29,0,29,29,29,29
620,0,30,30,30,30,0,30,30,30,30
640,0,31,31,31,31,0,31,31,31,31
660,0,32,32,32,32,0,32,32,32,32
680,0,33,33,33,33,0,33,33,33,33
700,0,34,34,34,34,0,34,34,34,34
720,0,35,35,35,35,0,35,35,35,35
740,0,36,36,36,36,0,36,36,36,36
760,0,37,37,37,37,0,37,37,37,37
780,0,38,38,38,38,0,38,38,38,38
800,0,39,39,39,39,0,39,39,39,39
820,0,40,40,40,40,0,40,40,40,40
840,0,41,41,41,41,0,41,41,41,41
860,0,42,42,42,42,0,42,42,42,42
880,0,43,43,43,43,0,43,43,43,43
900,0,44,44,44,44,0,44,44,44,44
920,0,45,45,45,45,0,45,45,45,45
940,0,44,44,44,44,0,44,44,44,44
960,0,43,43,43,43,0,43,43,43,43
980,0,42,42,42,42,0,42,42,42,42
1000,0,41,41,41,41,0,41,41,41,41
1020,0,40,40,40,40,0,40,40,40,40
1040,0,39,39,39,39,0,39,39,39,39
1060,0,38,38,38,38,0,38,38,38,38
1080,0,37,37,37,37,0,37,37,37,37
1100,0,36,36,36,36,0,36,36,36,36
1120,0,35,35,35,35,0,35,35,35,35
1140,0,34,34,34,34,0,34,34,34,34
1160,0,33,33,33,33,0,33,33,33,33
1180,0,32,32,32,32,0,32,32,32,32
1200,0,31,31,31,31,0,31,31,31,31
1220,0,30,30,30,30,0,30,30,30,30
1240,0,29,29,29,29,0,29,29,29,29
1260,0,28,28,28,28,0,28,28,28,28
1280,0,27,27,27,27,0,27,27,27,27
1300,0,26,26,26,26,0,26,26,26,26
1320,0,25,25,25,25,0,25,25,25,25
1340,0,24,24,24,24,0,24,24,24,24
1360,0,23,23,23,23,0,23,23,23,23
1380,0,22,22,22,22,0,22,22,22,22
1400,0,21,21,21,21,0,21,21,21,21
1420,0,20,20,20,20,0,20,20,20,20
1440,0,19,19,19,19,0,19,19,19,19
1460,0,18,18,18,18,0,18,18,18,18
1480,0,17,17,17,17,0,17,17,17,17
1500,0,16,16,16,16,0,16,16,16,16
