t_ms_full,a1_raw,a2_raw,a3_raw,a1_servo,a2_servo,a3_servo
0,0,0,0,90,90,90
20,0,0,0,90,90,90
40,1,1,0,91,91,90
60,2,2,0,92,92,90
80,3,3,0,93,93,90
100,4,4,0,94,94,90
120,5,5,0,95,95,90
140,6,6,0,96,96,90
160,7,7,0,97,97,90
180,8,8,0,98,98,90
200,9,9,0,99,99,90
220,10,10,0,100,100,90
240,11,11,0,101,101,90
260,12,12,0,102,102,90
280,13,13,0,103,103,90
300,14,14,0,104,104,90
320,15,15,0,105,105,90
340,16,16,0,106,106,90
360,17,17,0,107,107,90
380,18,18,0,108,108,90
400,19,19,0,109,109,90
420,20,20,0,110,110,90
440,21,21,0,111,111,90
460,22,22,0,112,112,90
480,23,23,0,113,113,90
500,24,24,0,114,114,90
520,25,25,0,115,115,90
540,26,26,0,116,116,90
560,27,27,0,117,117,90
580,28,28,0,118,118,90
600,29,29,0,119,119,90
620,30,30,0,120,120,90
640,31,31,0,121,121,90
660,32,32,0,122,122,90
680,33,33,0,123,123,90
700,34,34,0,124,124,90
720,35,35,0,125,125,90
740,36,36,0,126,126,90
760,37,37,0,127,127,90
780,38,38,0,128,128,90
800,39,39,0,129,129,90
820,40,40,0,130,130,90
840,41,41,0,131,131,90
860,42,42,0,132,132,90
880,43,43,0,133,133,90
900,44,44,0,134,134,90
920,45,45,0,135,135,90
940,44,44,0,134,134,90
960,43,43,0,133,133,90
980,42,42,0,132,132,90
1000,41,41,0,131,131,90
1020,40,40,0,130,130,90
1040,39,39,0,129,129,90
1060,38,38,0,128,128,90
1080,37,37,0,127,127,90
1100,36,36,0,126,126,90
1120,35,35,0,125,125,90
1140,34,34,0,124,124,90
1160,33,33,0,123,123,90
1180,32,32,0,122,122,90
1200,31,31,0,121,121,90
1220,30,30,0,120,120,90
1240,29,29,0,119,119,90
1260,28,28,0,118,118,90
1280,27,27,0,117,117,90
1300,26,26,0,116,116,90
1320,25,25,0,115,115,90
1340,24,24,0,114,114,90
1360,23,23,0,113,113,90
1380,22,22,0,112,112,90
1400,21,21,0,111,111,90
1420,20,20,0,110,110,90
1440,19,19,0,109,109,90
1460,18,18,0,108,108,90
1480,17,17,0,107,107,90
1500,16,16,0,106,106,90
1520,15,15,0,105,105,90
1540,14,14,0,104,104,90
1560,13,13,0,103,103,90
1580,12,12,0,102,102,90
1600,11,11,0,101,101,90
1620,10,10,0,100,100,90
1640,9,9,0,99,99,90
1660,8,8,0,98,98,90
1680,7,7,0,97,97,90
1700,6,6,0,96,96,90
1720,5,5,0,95,95,90
1740,4,4,0,94,94,90
1760,3,3,0,93,93,90
1780,2,2,0,92,92,90
1800,1,1,0,91,91,90
1820,0,0,0,90,90,90
1840,0,0,0,90,90,90
1860,0,0,0,90,90,90
1880,0,0,0,90,90,90
1900,0,0,0,90,90,90
1920,0,0,0,90,90,90
1940,0,0,0,90,90,90
1960,0,0,0,90,90,90
1980,0,0,0,90,90,90
2000,0,0,0,90,90,90
2020,0,0,0,90,90,90
2040,0,0,0,90,90,90
2060,0,0,0,90,90,90
2080,0,0,0,90,90,90
2100,0,0,0,90,90,90
2120,0,0,0,90,90,90
2140,0,0,0,90,90,90
2160,0,0,0,90,90,90
2180,1,1,1,91,91,91
2200,2,2,2,92,92,92
2220,3,3,3,93,93,93
2240,4,4,4,94,94,94
2260,5,5,5,95,95,95
2280,6,6,6,96,96,96
2300,7,7,7,97,97,97
2320,8,8,8,98,98,98
2340,9,9,9,99,99,99
2360,10,10,10,100,100,100
2380,11,11,11,101,101,101
2400,12,12,12,102,102,102
2420,13,13,13,103,103,103
2440,14,14,14,104,104,104
2460,15,15,15,105,105,105
2480,16,16,16,106,106,106
2500,17,17,17,107,107,107
2520,18,18,18,108,108,108
2540,19,19,19,109,109,109
2560,20,20,20,110,110,110
2580,21,21,21,111,111,111
2600,22,22,22,112,112,112
2620,23,23,23,113,113,113
2640,24,24,24,114,114,114
2660,25,25,25,115,115,115
2680,26,26,26,116,116,116
2700,27,27,27,117,117,117
2720,28,28,28,118,118,118
2740,29,29,29,119,119,119
2760,30,30,30,120,120,120
2780,31,31,31,121,121,121
2800,32,32,32,122,122,122
2820,33,33,33,123,123,123
2840,34,34,34,124,124,124
2860,35,35,35,125,125,125
2880,36,36,36,126,126,126
2900,37,37,37,127,127,127
2920,38,38,38,128,128,128
2940,39,39,39,129,129,129
2960,40,40,40,130,130,130
2980,41,41,41,131,131,131
3000,42,42,42,132,132,132
3020,43,43,43,133,133,133
3040,44,44,44,134,134,134
3060,45,45,45,135,135,135
3080,44,44,44,134,134,134
3100,43,43,43,133,133,133
3120,42,42,42,132,132,132
3140,41,41,41,131,131,131
3160,40,40,40,130,130,130
3180,39,39,39,129,129,129
3200,38,38,38,128,128,128
3220,37,37,37,127,127,127
3240,36,36,36,126,126,126
3260,35,35,35,125,125,125
3280,34,34,34,124,124,124
3300,33,33,33,123,123,123
3320,32,32,32,122,122,122
3340,31,31,31,121,121,121
3360,30,30,30,120,120,120
3380,29,29,29,119,119,119
3400,28,28,28,118,118,118
3420,27,27,27,117,117,117
3440,26,26,26,116,116,116
3460,25,25,25,115,115,115
3480,24,24,24,114,114,114
3500,23,23,23,113,113,113
3520,22,22,22,112,112,112
3540,21,21,21,111,111,111
3560,20,20,20,110,110,110
3580,19,19,19,109,109,109
3600,18,18,18,108,108,108
3620,17,17,17,107,107,107
3640,16,16,16,106,106,106
3660,15,15,15,105,105,105
3680,14,14,14,104,104,104
3700,13,13,13,103,103,103
3720,12,12,12,102,102,102
3740,11,11,11,101,101,101
3760,10,10,10,100,100,100
3780,9,9,9,99,99,99
3800,8,8,8,98,98,98
3820,7,7,7,97,97,97
3840,6,6,6,96,96,96
3860,5,5,5,95,95,95
3880,4,4,4,94,94,94
3900,3,3,3,93,93,93
3920,2,2,2,92,92,92
3940,1,1,1,91,91,91
3960,0,0,0,90,90,90
3980,0,0,0,90,90,90
4000,0,0,0,90,90,90
4020,0,0,0,90,90,90
4040,0,0,0,90,90,90
4060,0,0,0,90,90,90
4080,0,0,0,90,90,90
4100,0,0,0,90,90,90
4120,0,0,0,90,90,90
4140,0,0,0,90,90,90
4160,0,0,0,90,90,90
4180,0,0,0,90,90,90
4200,0,0,0,90,90,90
4220,0,0,0,90,90,90
4240,0,0,0,90,90,90
4260,0,0,0,90,90,90
4280,0,0,0,90,90,90
4300,0,0,0,90,90,90
4320,0,0,0,90,90,90
4340,0,0,0,90,90,90
4360,0,0,0,90,90,90
4380,0,0,0,90,90,90
4400,0,0,0,90,90,90
4420,0,0,0,90,90,90
4440,0,0,0,90,90,90
4460,0,0,0,90,90,90
4480,0,0,0,90,90,90
4500,0,0,0,90,90,90
4520,0,0,0,90,90,90
4540,0,0,0,90,90,90
4560,0,0,0,90,90,90
4580,0,0,0,90,90,90
4600,0,0,0,90,90,90
4620,0,0,0,90,90,90
4640,0,0,0,90,90,90
4660,0,0,0,90,90,90
4680,0,0,0,90,90,90
4700,0,0,0,90,90,90
4720,0,0,1,90,90,91
4740,0,0,2,90,90,92
4760,0,0,3,90,90,93
4780,0,0,4,90,90,94
4800,0,0,5,90,90,95
4820,0,0,6,90,90,96
4840,0,0,7,90,90,97
4860,0,0,8,90,90,98
4880,0,0,9,90,90,99
4900,0,0,10,90,90,100
4920,0,0,11,90,90,101
4940,0,0,12,90,90,102
4960,0,0,13,90,90,103
4980,0,0,14,90,90,104
5000,0,0,15,90,90,105
5020,0,0,16,90,90,106
5040,0,0,17,90,90,107
5060,0,0,18,90,90,108
5080,0,0,19,90,90,109
5100,0,0,20,90,90,110
5120,0,0,21,90,90,111
5140,0,0,22,90,90,112
5160,0,0,23,90,90,113
5180,0,0,24,90,90,114
5200,0,0,25,90,90,115
5220,0,0,26,90,90,116
5240,0,0,27,90,90,117
5260,0,0,28,90,90,118
5280,0,0,29,90,90,119
5300,0,0,30,90,90,120
5320,0,0,31,90,90,121
5340,0,0,32,90,90,122
5360,0,0,33,90,90,123
5380,0,0,34,90,90,124
5400,0,0,35,90,90,125
5420,0,0,36,90,90,126
5440,0,0,37,90,90,127
5460,0,0,38,90,90,128
5480,0,0,39,90,90,129
5500,0,0,40,90,90,130
5520,0,0,41,90,90,131
5540,0,0,42,90,90,132
5560,0,0,43,90,90,133
5580,0,0,44,90,90,134
5600,0,0,45,90,90,135
5620,0,0,44,90,90,134
5640,0,0,43,90,90,133
5660,0,0,42,90,90,132
5680,0,0,41,90,90,131
5700,0,0,40,90,90,130
5720,0,0,39,90,90,129
5740,0,0,38,90,90,128
5760,0,0,37,90,90,127
5780,0,0,36,90,90,126
5800,0,0,35,90,90,125
5820,0,0,34,90,90,124
5840,0,0,33,90,90,123
5860,0,0,32,90,90,122
5880,0,0,31,90,90,121
5900,0,0,30,90,90,120
5920,0,0,29,90,90,119
5940,0,0,28,90,90,118
5960,0,0,27,90,90,117
5980,0,0,26,90,90,116
6000,0,0,25,90,90,115
