Tout,Bottom,Mid,top,elbow,wrist
0,0,0,0,0,0
0.02,6.36E-14,-3.18E-14,0,-3.18E-14,0
0.04,5.09E-14,-1.91E-14,0,-1.91E-14,0
0.06,7.63E-14,-2.54E-14,0,-2.54E-14,0
0.08,7.63E-14,-2.54E-14,0,-2.54E-14,0
0.1,6.36E-14,-2.54E-14,0,-2.54E-14,0
0.12,3.82E-14,-6.36E-14,0,-6.36E-14,0
0.14,5.09E-14,0,0,0,0
0.16,5.09E-14,-5.72E-14,0,-5.72E-14,0
0.18,2.54E-14,-1.27E-14,0,-1.27E-14,0
0.2,5.09E-14,-1.27E-14,0,-1.27E-14,0
0.22,3.82E-14,-1.27E-14,0,-1.27E-14,0
0.24,7.63E-14,-1.91E-14,0,-1.91E-14,0
0.26,3.82E-14,-1.27E-14,0,-1.27E-14,0
0.28,5.09E-14,-2.54E-14,2.54E-14,-2.54E-14,2.54E-14
0.3,5.09E-14,-3.82E-14,0,-3.82E-14,0
0.32,5.09E-14,0,0,0,0
0.34,7.63E-14,-5.72E-14,0,-5.72E-14,0
0.36,5.09E-14,-3.82E-14,0,-3.82E-14,0
0.38,7.63E-14,-3.82E-14,2.54E-14,-3.82E-14,2.54E-14
0.4,3.82E-14,-6.36E-15,2.54E-14,-6.36E-15,2.54E-14
0.42,5.09E-14,-5.09E-14,2.54E-14,-5.09E-14,2.54E-14
0.44,5.09E-14,-5.09E-14,0,-5.09E-14,0
0.46,2.54E-14,0,0,0,0
0.48,5.09E-14,-2.54E-14,-2.54E-14,-2.54E-14,-2.54E-14
0.5,5.09E-14,0,0,0,0
0.52,1.27E-14,1.27E-14,0,1.27E-14,0
0.54,7.63E-14,-3.18E-14,0,-3.18E-14,0
0.56,5.09E-14,0,0,0,0
0.58,5.09E-14,-2.54E-14,0,-2.54E-14,0
0.6,1.27E-14,0,-2.54E-14,0,-2.54E-14
0.62,6.36E-14,-3.18E-14,2.54E-14,-3.18E-14,2.54E-14
0.64,3.82E-14,0,2.54E-14,0,2.54E-14
0.66,3.82E-14,-5.09E-14,0,-5.09E-14,0
0.68,6.36E-14,-1.91E-14,-2.54E-14,-1.91E-14,-2.54E-14
0.7,5.09E-14,-2.54E-14,0,-2.54E-14,0
0.72,3.82E-14,-1.27E-14,-2.54E-14,-1.27E-14,-2.54E-14
0.74,3.82E-14,0,0,0,0
0.76,2.54E-14,-1.91E-14,0,-1.91E-14,0
0.78,5.09E-14,-1.27E-14,0,-1.27E-14,0
0.8,3.82E-14,-6.36E-15,-2.54E-14,-6.36E-15,-2.54E-14
0.82,6.36E-14,-4.45E-14,2.54E-14,-4.45E-14,2.54E-14
0.84,5.09E-14,-1.91E-14,0,-1.91E-14,0
0.86,2.54E-14,0,-2.54E-14,0,-2.54E-14
0.88,3.82E-14,6.36E-15,0,6.36E-15,0
0.9,3.82E-14,-1.27E-14,2.54E-14,-1.27E-14,2.54E-14
0.92,6.36E-14,-1.27E-14,0,-1.27E-14,0
0.94,5.09E-14,0,-5.09E-14,0,-5.09E-14
0.96,5.09E-14,-1.27E-14,-2.54E-14,-1.27E-14,-2.54E-14
0.98,3.82E-14,6.36E-15,-2.54E-14,6.36E-15,-2.54E-14
1,5.09E-14,-5.72E-14,0,-5.72E-14,0
1.02,5.09E-14,-3.18E-14,0,-3.18E-14,0
1.04,3.82E-14,-7.00E-14,0,-7.00E-14,0
1.06,3.82E-14,-6.36E-15,-2.54E-14,-6.36E-15,-2.54E-14
1.08,3.82E-14,-1.27E-14,-2.54E-14,-1.27E-14,-2.54E-14
1.1,6.36E-14,-2.54E-14,-2.54E-14,-2.54E-14,-2.54E-14
1.12,5.09E-14,-1.27E-14,0,-1.27E-14,0
1.14,5.09E-14,-2.54E-14,0,-2.54E-14,0
1.16,6.36E-14,-3.82E-14,2.54E-14,-3.82E-14,2.54E-14
1.18,3.82E-14,1.27E-14,-2.54E-14,1.27E-14,-2.54E-14
1.2,6.36E-14,-1.27E-14,-2.54E-14,-1.27E-14,-2.54E-14
1.22,7.63E-14,-2.54E-14,-2.54E-14,-2.54E-14,-2.54E-14
1.24,2.54E-14,0,2.54E-14,0,2.54E-14
1.26,6.36E-14,-1.91E-14,0,-1.91E-14,0
1.28,2.54E-14,-1.27E-14,0,-1.27E-14,0
1.3,6.36E-14,1.91E-14,0,1.91E-14,0
1.32,6.36E-14,-6.36E-15,0,-6.36E-15,0
1.34,3.82E-14,-1.91E-14,0,-1.91E-14,0
1.36,5.09E-14,-1.27E-14,0,-1.27E-14,0
1.38,5.09E-14,-1.27E-14,-2.54E-14,-1.27E-14,-2.54E-14
1.4,8.91E-14,-5.72E-14,0,-5.72E-14,0
1.42,3.82E-14,-1.27E-14,-2.54E-14,-1.27E-14,-2.54E-14
1.44,3.82E-14,-1.27E-14,0,-1.27E-14,0
1.46,6.36E-14,-5.09E-14,0,-5.09E-14,0
