t_ms_full,bottom_raw,mid_raw,top_raw,elbow_raw,wrist_raw,bottom_tx,mid_tx,top_tx,elbow_tx,wrist_tx
0,0,0,0,0,0,0,0,0,0,0
20,6.36e-14,-3.18e-14,0,-3.18e-14,0,0,-0,0,-0,0
40,5.09e-14,-1.91e-14,0,-1.91e-14,0,0,-0,0,-0,0
60,7.63e-14,-2.54e-14,0,-2.54e-14,0,0,-0,0,-0,0
80,7.63e-14,-2.54e-14,0,-2.54e-14,0,0,-0,0,-0,0
100,6.36e-14,-2.54e-14,0,-2.54e-14,0,0,-0,0,-0,0
120,3.82e-14,-6.36e-14,0,-6.36e-14,0,0,-0,0,-0,0
140,5.09e-14,0,0,0,0,0,0,0,0,0
160,5.09e-14,-5.72e-14,0,-5.72e-14,0,0,-0,0,-0,0
180,2.54e-14,-1.27e-14,0,-1.27e-14,0,0,-0,0,-0,0
200,5.09e-14,-1.27e-14,0,-1.27e-14,0,0,-0,0,-0,0
220,3.82e-14,-1.27e-14,0,-1.27e-14,0,0,-0,0,-0,0
240,7.63e-14,-1.91e-14,0,-1.91e-14,0,0,-0,0,-0,0
260,3.82e-14,-1.27e-14,0,-1.27e-14,0,0,-0,0,-0,0
280,5.09e-14,-2.54e-14,2.54e-14,-2.54e-14,2.54e-14,0,-0,0,-0,0
300,5.09e-14,-3.82e-14,0,-3.82e-14,0,0,-0,0,-0,0
320,5.09e-14,0,0,0,0,0,0,0,0,0
340,7.63e-14,-5.72e-14,0,-5.72e-14,0,0,-0,0,-0,0
360,5.09e-14,-3.82e-14,0,-3.82e-14,0,0,-0,0,-0,0
380,7.63e-14,-3.82e-14,2.54e-14,-3.82e-14,2.54e-14,0,-0,0,-0,0
400,3.82e-14,-6.36e-15,2.54e-14,-6.36e-15,2.54e-14,0,-0,0,-0,0
420,5.09e-14,-5.09e-14,2.54e-14,-5.09e-14,2.54e-14,0,-0,0,-0,0
440,5.09e-14,-5.09e-14,0,-5.09e-14,0,0,-0,0,-0,0
460,2.54e-14,0,0,0,0,0,0,0,0,0
480,5.09e-14,-2.54e-14,-2.54e-14,-2.54e-14,-2.54e-14,0,-0,-0,-0,-0
500,5.09e-14,0,0,0,0,0,0,0,0,0
520,1.27e-14,1.27e-14,0,1.27e-14,0,0,0,0,0,0
540,7.63e-14,-3.18e-14,0,-3.18e-14,0,0,-0,0,-0,0
560,5.09e-14,0,0,0,0,0,0,0,0,0
580,5.09e-14,-2.54e-14,0,-2.54e-14,0,0,-0,0,-0,0
600,1.27e-14,0,-2.54e-14,0,-2.54e-14,0,0,-0,0,-0
620,6.36e-14,-3.18e-14,2.54e-14,-3.18e-14,2.54e-14,0,-0,0,-0,0
640,3.82e-14,0,2.54e-14,0,2.54e-14,0,0,0,0,0
660,3.82e-14,-5.09e-14,0,-5.09e-14,0,0,-0,0,-0,0
680,6.36e-14,-1.91e-14,-2.54e-14,-1.91e-14,-2.54e-14,0,-0,-0,-0,-0
700,5.09e-14,-2.54e-14,0,-2.54e-14,0,0,-0,0,-0,0
720,3.82e-14,-1.27e-14,-2.54e-14,-1.27e-14,-2.54e-14,0,-0,-0,-0,-0
740,3.82e-14,0,0,0,0,0,0,0,0,0
760,2.54e-14,-1.91e-14,0,-1.91e-14,0,0,-0,0,-0,0
780,5.09e-14,-1.27e-14,0,-1.27e-14,0,0,-0,0,-0,0
800,3.82e-14,-6.36e-15,-2.54e-14,-6.36e-15,-2.54e-14,0,-0,-0,-0,-0
820,6.36e-14,-4.45e-14,2.54e-14,-4.45e-14,2.54e-14,0,-0,0,-0,0
840,5.09e-14,-1.91e-14,0,-1.91e-14,0,0,-0,0,-0,0
860,2.54e-14,0,-2.54e-14,0,-2.54e-14,0,0,-0,0,-0
880,3.82e-14,6.36e-15,0,6.36e-15,0,0,0,0,0,0
900,3.82e-14,-1.27e-14,2.54e-14,-1.27e-14,2.54e-14,0,-0,0,-0,0
920,6.36e-14,-1.27e-14,0,-1.27e-14,0,0,-0,0,-0,0
940,5.09e-14,0,-5.09e-14,0,-5.09e-14,0,0,-0,0,-0
960,5.09e-14,-1.27e-14,-2.54e-14,-1.27e-14,-2.54e-14,0,-0,-0,-0,-0
980,3.82e-14,6.36e-15,-2.54e-14,6.36e-15,-2.54e-14,0,0,-0,0,-0
1000,5.09e-14,-5.72e-14,0,-5.72e-14,0,0,-0,0,-0,0
1020,5.09e-14,-3.18e-14,0,-3.18e-14,0,0,-0,0,-0,0
1040,3.82e-14,-7e-14,0,-7e-14,0,0,-0,0,-0,0
1060,3.82e-14,-6.36e-15,-2.54e-14,-6.36e-15,-2.54e-14,0,-0,-0,-0,-0
1080,3.82e-14,-1.27e-14,-2.54e-14,-1.27e-14,-2.54e-14,0,-0,-0,-0,-0
1100,6.36e-14,-2.54e-14,-2.54e-14,-2.54e-14,-2.54e-14,0,-0,-0,-0,-0
1120,5.09e-14,-1.27e-14,0,-1.27e-14,0,0,-0,0,-0,0
1140,5.09e-14,-2.54e-14,0,-2.54e-14,0,0,-0,0,-0,0
1160,6.36e-14,-3.82e-14,2.54e-14,-3.82e-14,2.54e-14,0,-0,0,-0,0
1180,3.82e-14,1.27e-14,-2.54e-14,1.27e-14,-2.54e-14,0,0,-0,0,-0
1200,6.36e-14,-1.27e-14,-2.54e-14,-1.27e-14,-2.54e-14,0,-0,-0,-0,-0
1220,7.63e-14,-2.54e-14,-2.54e-14,-2.54e-14,-2.54e-14,0,-0,-0,-0,-0
1240,2.54e-14,0,2.54e-14,0,2.54e-14,0,0,0,0,0
1260,6.36e-14,-1.91e-14,0,-1.91e-14,0,0,-0,0,-0,0
1280,2.54e-14,-1.27e-14,0,-1.27e-14,0,0,-0,0,-0,0
1300,6.36e-14,1.91e-14,0,1.91e-14,0,0,0,0,0,0
1320,6.36e-14,-6.36e-15,0,-6.36e-15,0,0,-0,0,-0,0
1340,3.82e-14,-1.91e-14,0,-1.91e-14,0,0,-0,0,-0,0
1360,5.09e-14,-1.27e-14,0,-1.27e-14,0,0,-0,0,-0,0
1380,5.09e-14,-1.27e-14,-2.54e-14,-1.27e-14,-2.54e-14,0,-0,-0,-0,-0
1400,8.91e-14,-5.72e-14,0,-5.72e-14,0,0,-0,0,-0,0
1420,3.82e-14,-1.27e-14,-2.54e-14,-1.27e-14,-2.54e-14,0,-0,-0,-0,-0
1440,3.82e-14,-1.27e-14,0,-1.27e-14,0,0,-0,0,-0,0
1460,6.36e-14,-5.09e-14,0,-5.09e-14,0,0,-0,0,-0,0
1480,3.82e-14,1.27e-14,-2.54e-14,1.27e-14,-2.54e-14,0,0,-0,0,-0
1500,7.63e-14,-6.36e-14,0,-6.36e-14,0,0,-0,0,-0,0
1520,7.63e-14,-5.09e-14,2.54e-14,-5.09e-14,2.54e-14,0,-0,0,-0,0
1540,2.54e-14,0,0,0,0,0,0,0,0,0
1560,7.63e-14,-4.45e-14,2.54e-14,-4.45e-14,2.54e-14,0,-0,0,-0,0
1580,3.82e-14,-1.91e-14,0,-1.91e-14,0,0,-0,0,-0,0
1600,3.82e-14,6.36e-15,-2.54e-14,6.36e-15,-2.54e-14,0,0,-0,0,-0
1620,5.09e-14,0,-2.54e-14,0,-2.54e-14,0,0,-0,0,-0
1640,3.82e-14,-2.54e-14,0,-2.54e-14,0,0,-0,0,-0,0
1660,5.09e-14,-1.27e-14,0,-1.27e-14,0,0,-0,0,-0,0
1680,5.09e-14,-6.36e-15,-2.54e-14,-6.36e-15,-2.54e-14,0,-0,-0,-0,-0
1700,2.54e-14,0,0,0,0,0,0,0,0,0
1720,7.63e-14,-1.91e-14,-2.54e-14,-1.91e-14,-2.54e-14,0,-0,-0,-0,-0
1740,2.54e-14,2.54e-14,-2.54e-14,2.54e-14,-2.54e-14,0,0,-0,0,-0
1760,2.54e-14,0,-2.54e-14,0,-2.54e-14,0,0,-0,0,-0
1780,8.91e-14,-1.27e-14,0,-1.27e-14,0,0,-0,0,-0,0
1800,5.09e-14,-1.27e-14,-2.54e-14,-1.27e-14,-2.54e-14,0,-0,-0,-0,-0
1820,3.82e-14,-3.18e-14,0,-3.18e-14,0,0,-0,0,-0,0
1840,3.82e-14,-1.91e-14,0,-1.91e-14,0,0,-0,0,-0,0
1860,3.82e-14,-1.27e-14,-2.54e-14,-1.27e-14,-2.54e-14,0,-0,-0,-0,-0
1880,7.63e-14,-1.91e-14,-2.54e-14,-1.91e-14,-2.54e-14,0,-0,-0,-0,-0
1900,5.09e-14,0,-2.54e-14,0,-2.54e-14,0,0,-0,0,-0
1920,5.09e-14,-1.27e-14,0,-1.27e-14,0,0,-0,0,-0,0
1940,3.82e-14,0,-2.54e-14,0,-2.54e-14,0,0,-0,0,-0
1960,7.63e-14,-3.82e-14,0,-3.82e-14,0,0,-0,0,-0,0
1980,6.36e-14,-3.18e-14,2.54e-14,-3.18e-14,2.54e-14,0,-0,0,-0,0
2000,6.36e-14,0,0,0,0,0,0,0,0,0
2020,5.09e-14,-2.54e-14,2.54e-14,-2.54e-14,2.54e-14,0,-0,0,-0,0
2040,5.09e-14,-1.27e-14,0,-1.27e-14,0,0,-0,0,-0,0
2060,5.09e-14,-1.91e-14,0,-1.91e-14,0,0,-0,0,-0,0
2080,0,0,-2.54e-14,0,-2.54e-14,0,0,-0,0,-0
2100,0,1.27e-14,0,1.27e-14,0,0,0,0,0,0
2120,5.09e-14,-5.09e-14,0,-5.09e-14,0,0,-0,0,-0,0
2140,5.09e-14,-5.09e-14,2.54e-14,-5.09e-14,2.54e-14,0,-0,0,-0,0
2160,7.63e-14,-1.91e-14,0,-1.91e-14,0,0,-0,0,-0,0
2180,5.09e-14,-1.27e-14,-2.54e-14,-1.27e-14,-2.54e-14,0,-0,-0,-0,-0
2200,5.09e-14,-3.82e-14,0,-3.82e-14,0,0,-0,0,-0,0
2220,5.09e-14,-3.82e-14,-2.54e-14,-3.82e-14,-2.54e-14,0,-0,-0,-0,-0
2240,7.63e-14,-4.45e-14,2.54e-14,-4.45e-14,2.54e-14,0,-0,0,-0,0
2260,5.09e-14,-1.91e-14,0,-1.91e-14,0,0,-0,0,-0,0
2280,0,0,-2.54e-14,0,-2.54e-14,0,0,-0,0,-0
2300,5.09e-14,-1.91e-14,0,-1.91e-14,0,0,-0,0,-0,0
2320,6.36e-14,-2.54e-14,0,-2.54e-14,0,0,-0,0,-0,0
2340,3.82e-14,-6.36e-15,0,-6.36e-15,0,0,-0,0,-0,0
2360,6.36e-14,-1.91e-14,0,-1.91e-14,0,0,-0,0,-0,0
2380,6.36e-14,-5.09e-14,0,-5.09e-14,0,0,-0,0,-0,0
2400,2.54e-14,-2.54e-14,-2.54e-14,-2.54e-14,-2.54e-14,0,-0,-0,-0,-0
2420,3.82e-14,1.27e-14,0,1.27e-14,0,0,0,0,0,0
2440,5.09e-14,-1.91e-14,-2.54e-14,-1.91e-14,-2.54e-14,0,-0,-0,-0,-0
2460,7.63e-14,-1.27e-14,-2.54e-14,-1.27e-14,-2.54e-14,0,-0,-0,-0,-0
2480,2.54e-14,-1.27e-14,0,-1.27e-14,0,0,-0,0,-0,0
2500,5.09e-14,1.27e-14,-2.54e-14,1.27e-14,-2.54e-14,0,0,-0,0,-0
2520,3.82e-14,-1.27e-14,2.54e-14,-1.27e-14,2.54e-14,0,-0,0,-0,0
2540,6.36e-14,-2.54e-14,2.54e-14,-2.54e-14,2.54e-14,0,-0,0,-0,0
2560,6.36e-14,-5.09e-14,0,-5.09e-14,0,0,-0,0,-0,0
2580,3.82e-14,-1.27e-14,-2.54e-14,-1.27e-14,-2.54e-14,0,-0,-0,-0,-0
2600,3.82e-14,0,-2.54e-14,0,-2.54e-14,0,0,-0,0,-0
